Place,Competitor,DOB,Nationality,Score,Date,ResultScore,City
932, Alberto PUYUELO, 05 SEP 1986, ESP, 1036," 02 APR 2023"""," ""Medio Maraton de las Galletas 2023",Half Marathon
933, Takayasu HASHIZUME, 14 DEC 1990, JPN, 1036, 29:16.52 ," ""JPN""",10
933, Takayasu HASHIZUME, 14 DEC 1990, JPN, 1036," 12 JUL 2023"""," ""988""",5000 Metres
933, Takayasu HASHIZUME, 14 DEC 1990, JPN, 1036, 29:26.01 ," ""JPN""",10
933, Takayasu HASHIZUME, 14 DEC 1990, JPN, 1036," 23 APR 2023"""," ""1016""",Half Marathon
933, Takayasu HASHIZUME, 14 DEC 1990, JPN, 1036," 12 FEB 2023"""," ""1041""",Half Marathon
934, Dean MENZIES, 04 FEB 1988, AUS, 1036," 06 DEC 2023"""," ""900""",5000 Metres
934, Dean MENZIES, 04 FEB 1988, AUS, 1036," 08 OCT 2023"""," ""862""",Marathon
934, Dean MENZIES, 04 FEB 1988, AUS, 1036," 17 SEP 2023"""," ""945""",Marathon
934, Dean MENZIES, 04 FEB 1988, AUS, 1036," 13 AUG 2023"""," ""901""",Half Marathon
934, Dean MENZIES, 04 FEB 1988, AUS, 1036," 02 JUL 2023"""," ""1030""",Marathon
934, Dean MENZIES, 04 FEB 1988, AUS, 1036," 26 FEB 2023"""," ""1036""",Marathon
935, Tyler SICKLER, , USA, 1036," 14 OCT 2023"""," ""1048""",Marathon
935, Tyler SICKLER, , USA, 1036," 17 JUN 2023"""," ""1025""",Marathon
936, Maarten HINDRIKS, 12 APR 1995, NED, 1036," 03 DEC 2023"""," ""1038""",Marathon
936, Maarten HINDRIKS, 12 APR 1995, NED, 1036," 01 OCT 2023"""," ""809""",Half Marathon
936, Maarten HINDRIKS, 12 APR 1995, NED, 1036," 18 MAY 2023"""," ""841""",3000 Metres
936, Maarten HINDRIKS, 12 APR 1995, NED, 1036," 16 APR 2023"""," ""1017""",Marathon
936, Maarten HINDRIKS, 12 APR 1995, NED, 1036," 12 MAR 2023"""," ""864""",Half Marathon
936, Maarten HINDRIKS, 12 APR 1995, NED, 1036," 12 FEB 2023"""," ""922""",10 Kilometres Road
937, Xiaoyang SUN, 11 FEB 1993, CHN, 1035," 26 NOV 2023"""," ""1083""",Marathon
937, Xiaoyang SUN, 11 FEB 1993, CHN, 1035," 29 OCT 2023"""," ""966""",Marathon
937, Xiaoyang SUN, 11 FEB 1993, CHN, 1035," 24 SEP 2023"""," ""Hengshui Lake Marathon",Marathon
937, Xiaoyang SUN, 11 FEB 1993, CHN, 1035," 17 SEP 2023"""," ""978""",Marathon
937, Xiaoyang SUN, 11 FEB 1993, CHN, 1035," 16 APR 2023"""," ""920""",Half Marathon
937, Xiaoyang SUN, 11 FEB 1993, CHN, 1035," 02 APR 2023"""," ""983""",Half Marathon
937, Xiaoyang SUN, 11 FEB 1993, CHN, 1035," 19 MAR 2023"""," ""1012""",Marathon
938, Tyler JERMANN, 19 AUG 1992, USA, 1035," 08 OCT 2023"""," ""1057""",Marathon
938, Tyler JERMANN, 19 AUG 1992, USA, 1035," 17 JUN 2023"""," ""1013""",Half Marathon
938, Tyler JERMANN, 19 AUG 1992, USA, 1035," 02 APR 2023"""," ""972""",10 Miles Road
938, Tyler JERMANN, 19 AUG 1992, USA, 1035," 26 FEB 2023"""," ""978""",Half Marathon
939, Panagiotis KARAISKOS, 16 DEC 1988, GRE, 1035," 12 NOV 2023"""," ""960""",Marathon
939, Panagiotis KARAISKOS, 16 DEC 1988, GRE, 1035," 07 MAY 2023"""," ""1016""",Marathon
939, Panagiotis KARAISKOS, 16 DEC 1988, GRE, 1035," 19 MAR 2023"""," ""887""",Half Marathon
940, Geoffrey KENISI, 1987, KEN, 1035," 10 DEC 2023"""," ""1010""",Marathon
940, Geoffrey KENISI, 1987, KEN, 1035," 26 NOV 2023"""," ""994""",Marathon
940, Geoffrey KENISI, 1987, KEN, 1035," 19 NOV 2023"""," ""1017""",Half Marathon
940, Geoffrey KENISI, 1987, KEN, 1035," 22 OCT 2023"""," ""1049""",Marathon
940, Geoffrey KENISI, 1987, KEN, 1035," 26 MAR 2023"""," ""884""",Half Marathon
941, Eric Kiprono KIPTANUI, 19 APR 1990, KEN, 1034," 11 JUN 2023"""," ""932""",Marathon
942, Elijah TIROP, 23 DEC 1992, KEN, 1034," 31 DEC 2023"""," ""984""",Marathon
942, Elijah TIROP, 23 DEC 1992, KEN, 1034," 18 NOV 2023"""," ""Xichang Qionghai Lake Wetland International Marathon",Marathon
942, Elijah TIROP, 23 DEC 1992, KEN, 1034," 22 APR 2023"""," ""1080""",Marathon
943, Ross BRADEN, 17 JUN 1993, GBR, 1034," 15 OCT 2023"""," ""963""",Half Marathon
943, Ross BRADEN, 17 JUN 1993, GBR, 1034," 23 APR 2023"""," ""1066""",Marathon
944, Zhihao ZHANG, 22 FEB 2000, CHN, 1034," 29 OCT 2023"""," ""860""",Marathon
944, Zhihao ZHANG, 22 FEB 2000, CHN, 1034," 22 OCT 2023"""," ""1047""",Marathon
944, Zhihao ZHANG, 22 FEB 2000, CHN, 1034," 14 AUG 2023"""," ""923""",1500 Metres
944, Zhihao ZHANG, 22 FEB 2000, CHN, 1034," 12 AUG 2023"""," ""834""",5000 Metres
944, Zhihao ZHANG, 22 FEB 2000, CHN, 1034," 11 JUN 2023"""," ""1006""",Marathon
944, Zhihao ZHANG, 22 FEB 2000, CHN, 1034," 16 APR 2023"""," ""932""",Half Marathon
944, Zhihao ZHANG, 22 FEB 2000, CHN, 1034," 12 MAR 2023"""," ""884""",Half Marathon
945, Wan Chun WONG, 13 FEB 1996, HKG, 1034," 03 DEC 2023"""," ""764""",Marathon
945, Wan Chun WONG, 13 FEB 1996, HKG, 1034," 24 SEP 2023"""," ""1057""",Marathon
945, Wan Chun WONG, 13 FEB 1996, HKG, 1034," 23 APR 2023"""," ""1012""",Marathon
945, Wan Chun WONG, 13 FEB 1996, HKG, 1034," 12 FEB 2023"""," ""910""",Marathon
945, Wan Chun WONG, 13 FEB 1996, HKG, 1034," 08 JAN 2023"""," ""685""",Half Marathon
946, Alex BURKS, , USA, 1034," 14 OCT 2023"""," ""1044""",Marathon
946, Alex BURKS, , USA, 1034," 25 MAR 2023"""," ""964""",Half Marathon
946, Alex BURKS, , USA, 1034," 11 FEB 2023"""," ""916""",5000 Metres Short Track
947, Daniel HAMILTON, 28 JUL 1991, GBR, 1034," 15 OCT 2023"""," ""1031""",Marathon
948, Zhengyou SHA, 04 SEP 1996, CHN, 1034," 03 DEC 2023"""," ""858""",Marathon
948, Zhengyou SHA, 04 SEP 1996, CHN, 1034," 18 NOV 2023"""," ""Xichang Qionghai Lake Wetland International Marathon",Marathon
948, Zhengyou SHA, 04 SEP 1996, CHN, 1034," 29 OCT 2023"""," ""1032""",Marathon
948, Zhengyou SHA, 04 SEP 1996, CHN, 1034," 22 APR 2023"""," ""1036""",Marathon
948, Zhengyou SHA, 04 SEP 1996, CHN, 1034," 12 MAR 2023"""," ""1012""",Half Marathon
949, Joaquin ARBE, 25 AUG 1990, ARG, 1033," 03 DEC 2023"""," ""1159""",Marathon
949, Joaquin ARBE, 25 AUG 1990, ARG, 1033," 05 NOV 2023"""," ""Argentinian 10km Championships",10 Kilometres Road
949, Joaquin ARBE, 25 AUG 1990, ARG, 1033," 05 NOV 2023"""," ""1005""",10 Kilometres Road
949, Joaquin ARBE, 25 AUG 1990, ARG, 1033," 27 AUG 2023"""," ""World Athletics Championships",Marathon
950, Augustino Paulo SULLE, 13 OCT 1997, TAN, 1033," 23 JUL 2023"""," ""1076""",Marathon
950, Augustino Paulo SULLE, 13 OCT 1997, TAN, 1033," 02 APR 2023"""," ""1108""",Marathon
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033, 29:32.57 ," ""JPN""",10
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033, 30:28.95 ," ""JPN""",10
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033," 27 AUG 2023"""," ""923""",Marathon
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033," 14 MAY 2023"""," ""1003""",Half Marathon
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033," 12 MAY 2023"""," ""890""",5000 Metres
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033, 29:14.46 ," ""JPN""",10
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033," 04 MAY 2023"""," ""955""",5000 Metres
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033," 23 APR 2023"""," ""812""",1500 Metres
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033," 02 APR 2023"""," ""970""",5000 Metres
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033," 19 FEB 2023"""," ""1018""",Marathon
951, Hiroaki FURUKAWA, 09 OCT 1995, JPN, 1033," 29 JAN 2023"""," ""989""",Half Marathon
952, Artur BOSSY, 30 APR 1994, ESP, 1033," 31 DEC 2023"""," ""886""",10 Kilometres Road
952, Artur BOSSY, 30 APR 1994, ESP, 1033," 22 JUN 2023"""," ""1075""",1500 Metres
952, Artur BOSSY, 30 APR 1994, ESP, 1033," 14 MAY 2023"""," ""1018""",Half Marathon
952, Artur BOSSY, 30 APR 1994, ESP, 1033," 29 APR 2023"""," ""981""",Half Marathon
952, Artur BOSSY, 30 APR 1994, ESP, 1033, DNF ," ""ESP""",10
952, Artur BOSSY, 30 APR 1994, ESP, 1033," 11 MAR 2023"""," ""1009""",10 Kilometres Road
952, Artur BOSSY, 30 APR 1994, ESP, 1033," 05 FEB 2023"""," ""933""",Half Marathon
953, Mengiste ASREN, 03 JAN 2001, ETH, 1033," 19 MAR 2023"""," ""1125""",Marathon
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032," 19 NOV 2023"""," ""2023 Hefei Marathon",Marathon
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032," 24 SEP 2023"""," ""Hengshui Lake Marathon",Marathon
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032," 16 JUL 2023"""," ""853""",Marathon
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032, 31:59.54 ," ""CHN""",10
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032," 02 JUN 2023"""," ""751""",5000 Metres
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032, DNF ," ""CHN""",10
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032," 21 APR 2023"""," ""759""",5000 Metres
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032, 32:27.51 ," ""CHN""",10
954, Zhongrui GUO, 14 OCT 1999, CHN, 1032," 07 APR 2023"""," ""793""",5000 Metres
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032," 22 OCT 2023"""," ""888""",5000 Metres
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032, 30:10.44 ," ""COL""",10
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032," 20 AUG 2023"""," ""922""",10 Kilometres Road
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032," 30 JUL 2023"""," ""928""",Half Marathon
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032," 06 JUN 2023"""," ""953""",5000 Metres
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032, 29:05.02 ," ""POR""",10
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032," 18 MAY 2023"""," ""998""",5000 Metres
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032," 07 MAY 2023"""," ""10km El Pendo",10 Kilometres Road
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032," 26 MAR 2023"""," ""917""",5000 Metres
955, David GOMEZ GONZÁLEZ, 15 AUG 1991, COL, 1032, 29:50.00 ," ""COL""",10
956, Bereket ZELEKE, 07 NOV 2004, ETH, 1032," 01 OCT 2023"""," ""1021""",Half Marathon
956, Bereket ZELEKE, 07 NOV 2004, ETH, 1032," 27 AUG 2023"""," ""1090""",Half Marathon
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032," 15 OCT 2023"""," ""1058""",Marathon
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032," 30 JUL 2023"""," ""892""",5000 Metres
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032, DNF ," ""BRA""",10
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032, 29:20.06 ," ""BRA""",10
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032," 06 JUL 2023"""," ""971""",5000 Metres
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032," 21 MAY 2023"""," ""1031""",10 Kilometres Road
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032, 29:47.24 ," ""BRA""",10
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032," 13 MAY 2023"""," ""882""",5000 Metres
957, Wendell Geronimo SOUZA, 11 OCT 1991, BRA, 1032," 15 JAN 2023"""," ""866""",10 Kilometres Road
958, Mohamed HREZI, 28 OCT 1991, LBA, 1032," 03 DEC 2023"""," ""1053""",Marathon
958, Mohamed HREZI, 28 OCT 1991, LBA, 1032," 24 AUG 2023"""," ""951""",5000 Metres
958, Mohamed HREZI, 28 OCT 1991, LBA, 1032," 24 JUN 2023"""," ""859""",5000 Metres
958, Mohamed HREZI, 28 OCT 1991, LBA, 1032," 17 JUN 2023"""," ""1012""",Marathon
959, Zhongfu QIN, 25 MAY 1999, CHN, 1031," 31 DEC 2023"""," ""1015""",Marathon
959, Zhongfu QIN, 25 MAY 1999, CHN, 1031," 19 NOV 2023"""," ""2023 Hefei Marathon",Marathon
959, Zhongfu QIN, 25 MAY 1999, CHN, 1031," 16 JUL 2023"""," ""816""",Marathon
960, Zhujie WANGTANG, 05 MAR 2002, CHN, 1031," 29 OCT 2023"""," ""1046""",Marathon
960, Zhujie WANGTANG, 05 MAR 2002, CHN, 1031," 12 MAR 2023"""," ""964""",Half Marathon
960, Zhujie WANGTANG, 05 MAR 2002, CHN, 1031," 27 FEB 2023"""," ""862""",1500 Metres Short Track
960, Zhujie WANGTANG, 05 MAR 2002, CHN, 1031," 25 FEB 2023"""," ""857""",3000 Metres Short Track
960, Zhujie WANGTANG, 05 MAR 2002, CHN, 1031," 24 FEB 2023"""," ""831""",1500 Metres Short Track
961, Norman SHREEVE, 17 JUN 1987, GBR, 1031," 08 SEP 2023"""," ""828""",5 Kilometres Road
961, Norman SHREEVE, 17 JUN 1987, GBR, 1031," 19 FEB 2023"""," ""1028""",Marathon
961, Norman SHREEVE, 17 JUN 1987, GBR, 1031," 15 JAN 2023"""," ""918""",10 Kilometres Road
962, Carmeron DICKSON, , USA, 1031," 08 OCT 2023"""," ""1043""",Marathon
962, Carmeron DICKSON, , USA, 1031," 04 SEP 2023"""," ""882""",20 Kilometres Road
963, Nicolae Alexandru SOARE, 20 SEP 1991, ROU, 1030," 28 OCT 2023"""," ""Romanian Cross Country Championships",Cross Country
963, Nicolae Alexandru SOARE, 20 SEP 1991, ROU, 1030," 22 OCT 2023"""," ""967""",Marathon
963, Nicolae Alexandru SOARE, 20 SEP 1991, ROU, 1030," 10 SEP 2023"""," ""tRUNsylvania International 10K",10 Kilometres Road
963, Nicolae Alexandru SOARE, 20 SEP 1991, ROU, 1030," 27 AUG 2023"""," ""921""",Marathon
963, Nicolae Alexandru SOARE, 20 SEP 1991, ROU, 1030, 29:28.86 ," ""COD""",10
963, Nicolae Alexandru SOARE, 20 SEP 1991, ROU, 1030, DNF ," ""ROU""",10
963, Nicolae Alexandru SOARE, 20 SEP 1991, ROU, 1030," 30 APR 2023"""," ""1048""",Half Marathon
963, Nicolae Alexandru SOARE, 20 SEP 1991, ROU, 1030," 19 MAR 2023"""," ""1068""",Marathon
964, Mingyuan FENG, 12 JUL 2001, CHN, 1030," 29 OCT 2023"""," ""1026""",Marathon
964, Mingyuan FENG, 12 JUL 2001, CHN, 1030," 02 APR 2023"""," ""984""",Marathon
965, Asefa MENGSTU, 22 JAN 1988, ETH, 1029," 17 DEC 2023"""," ""943""",Marathon
965, Asefa MENGSTU, 22 JAN 1988, ETH, 1029," 08 OCT 2023"""," ""EDP Maratona de Lisboa",Marathon
965, Asefa MENGSTU, 22 JAN 1988, ETH, 1029," 02 APR 2023"""," ""Daegu International Marathon",Marathon
966, Raydon BALIE, 31 DEC 1994, RSA, 1029," 03 JUN 2023"""," ""976""",Half Marathon
966, Raydon BALIE, 31 DEC 1994, RSA, 1029, 31:48.09 ," ""RSA""",10
966, Raydon BALIE, 31 DEC 1994, RSA, 1029," 17 APR 2023"""," ""720""",5000 Metres
966, Raydon BALIE, 31 DEC 1994, RSA, 1029," 12 MAR 2023"""," ""992""",Marathon
967, Samuel SOUZA DO NASCIMENTO, 17 AUG 1988, BRA, 1029," 19 NOV 2023"""," ""843""",Marathon
967, Samuel SOUZA DO NASCIMENTO, 17 AUG 1988, BRA, 1029," 23 APR 2023"""," ""1073""",Marathon
968, Laban CHERUIYOT, 1992, KEN, 1029," 08 OCT 2023"""," ""912""",Half Marathon
968, Laban CHERUIYOT, 1992, KEN, 1029," 01 OCT 2023"""," ""1062""",Marathon
968, Laban CHERUIYOT, 1992, KEN, 1029," 20 MAY 2023"""," ""990""",Marathon
968, Laban CHERUIYOT, 1992, KEN, 1029," 14 MAY 2023"""," ""988""",Marathon
968, Laban CHERUIYOT, 1992, KEN, 1029," 15 APR 2023"""," ""883""",Half Marathon
968, Laban CHERUIYOT, 1992, KEN, 1029," 09 APR 2023"""," ""920""",Marathon
969, Mykola MEVSHA, 04 OCT 1994, UKR, 1029," 24 SEP 2023"""," ""1053""",Marathon
969, Mykola MEVSHA, 04 OCT 1994, UKR, 1029," 17 MAR 2023"""," ""860""",Half Marathon
970, Kenneth CHESEREK, 02 JAN 1997, KEN, 1029," 15 OCT 2023"""," ""1051""",Marathon
971, Weldu Negash GEBRETSADIK, 12 NOV 1986, NOR, 1028," 12 FEB 2023"""," ""1111""",Marathon
972, Kevin KOSKI, , USA, 1028," 12 NOV 2023"""," ""974""",Half Marathon
972, Kevin KOSKI, , USA, 1028," 14 OCT 2023"""," ""803""",Marathon
972, Kevin KOSKI, , USA, 1028," 17 JUN 2023"""," ""1064""",Marathon
972, Kevin KOSKI, , USA, 1028," 25 MAR 2023"""," ""1058""",Half Marathon
972, Kevin KOSKI, , USA, 1028," 26 FEB 2023"""," ""1020""",Half Marathon
973, Gabriel LAUTENSCHLAGER, 09 DEC 1995, GER, 1028," 24 SEP 2023"""," ""1003""",Marathon
973, Gabriel LAUTENSCHLAGER, 09 DEC 1995, GER, 1028," 02 APR 2023"""," ""967""",Half Marathon
973, Gabriel LAUTENSCHLAGER, 09 DEC 1995, GER, 1028," 26 FEB 2023"""," ""962""",10 Kilometres Road
974, John DEWITT, 30 APR 1991, USA, 1028," 14 OCT 2023"""," ""1044""",Marathon
975, Michael OTTESEN, , USA, 1028," 14 OCT 2023"""," ""1017""",Marathon
975, Michael OTTESEN, , USA, 1028," 07 MAY 2023"""," ""Lilac Bloomsday Run",12 Kilometres Road
976, Xuekang ZHANG, 17 MAY 2002, CHN, 1028," 17 DEC 2023"""," ""Fuzhou Half Marathon",Half Marathon
976, Xuekang ZHANG, 17 MAY 2002, CHN, 1028," 19 NOV 2023"""," ""1015""",Marathon
976, Xuekang ZHANG, 17 MAY 2002, CHN, 1028," 29 OCT 2023"""," ""1032""",Marathon
976, Xuekang ZHANG, 17 MAY 2002, CHN, 1028," 24 SEP 2023"""," ""Hengshui Lake Marathon",Marathon
976, Xuekang ZHANG, 17 MAY 2002, CHN, 1028," 22 APR 2023"""," ""860""",Marathon
977, Kota UEMATSU, 16 SEP 2002, JPN, 1028," 14 OCT 2023"""," ""1026""",Half Marathon
977, Kota UEMATSU, 16 SEP 2002, JPN, 1028, 29:52.14 ," ""JPN""",10
978, Erik LINDEN, , USA, 1028," 12 NOV 2023"""," ""963""",Half Marathon
978, Erik LINDEN, , USA, 1028," 24 SEP 2023"""," ""1031""",Marathon
978, Erik LINDEN, , USA, 1028," 04 SEP 2023"""," ""883""",20 Kilometres Road
978, Erik LINDEN, , USA, 1028," 25 JUN 2023"""," ""841""",10 Kilometres Road
978, Erik LINDEN, , USA, 1028," 15 APR 2023"""," ""B.A.A. 5K",Mile Road
978, Erik LINDEN, , USA, 1028," 25 MAR 2023"""," ""956""",Half Marathon
978, Erik LINDEN, , USA, 1028," 26 FEB 2023"""," ""1069""",Mile Short Track
978, Erik LINDEN, , USA, 1028," 27 JAN 2023"""," ""1052""",Mile Short Track
979, Riccardo MUGNOSSO, 21 APR 1997, ITA, 1027," 19 NOV 2023"""," ""1065""",Marathon
979, Riccardo MUGNOSSO, 21 APR 1997, ITA, 1027," 15 OCT 2023"""," ""960""",Half Marathon
979, Riccardo MUGNOSSO, 21 APR 1997, ITA, 1027," 10 SEP 2023"""," ""940""",10 Kilometres Road
979, Riccardo MUGNOSSO, 21 APR 1997, ITA, 1027, DNF ," ""ITA""",10
979, Riccardo MUGNOSSO, 21 APR 1997, ITA, 1027, 29:39.04 ," ""ITA""",10
980, Abraham KIPLIMO, 14 APR 1989, UGA, 1027," 29 OCT 2023"""," ""1062""",Marathon
981, Ivan KUZNETSOV, 16 SEP 1983, RUS, 1026," 01 OCT 2023"""," ""825""",Half Marathon
981, Ivan KUZNETSOV, 16 SEP 1983, RUS, 1026," 02 SEP 2023"""," ""988""",Marathon
981, Ivan KUZNETSOV, 16 SEP 1983, RUS, 1026, 31:30.64 ," ""RUS""",10
981, Ivan KUZNETSOV, 16 SEP 1983, RUS, 1026," 03 AUG 2023"""," ""819""",5000 Metres
981, Ivan KUZNETSOV, 16 SEP 1983, RUS, 1026," 14 MAY 2023"""," ""1033""",Marathon
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 31 OCT 2023"""," ""845""",5000 Metres
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 01 OCT 2023"""," ""887""",Half Marathon
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 24 SEP 2023"""," ""917""",10 Miles Road
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 30 JUL 2023"""," ""1013""",5000 Metres
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026, DNF ," ""BRA""",10
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026, 29:03.55 ," ""BRA""",10
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 06 JUL 2023"""," ""984""",5000 Metres
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 02 JUL 2023"""," ""908""",Half Marathon
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 11 JUN 2023"""," ""1002""",Marathon
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 21 MAY 2023"""," ""1048""",Half Marathon
982, Altobeli SILVA, 03 DEC 1990, BRA, 1026," 06 MAY 2023"""," ""951""",5000 Metres
983, Benjamin DECKER, , USA, 1026," 14 OCT 2023"""," ""1045""",Marathon
983, Benjamin DECKER, , USA, 1026," 04 SEP 2023"""," ""899""",20 Kilometres Road
983, Benjamin DECKER, , USA, 1026," 28 MAY 2023"""," ""949""",Marathon
984, Tianfan LUO, 02 SEP 2001, CHN, 1026," 31 DEC 2023"""," ""1015""",Marathon
984, Tianfan LUO, 02 SEP 2001, CHN, 1026," 29 OCT 2023"""," ""1038""",Marathon
985, Daiki HIROSE, 06 OCT 1991, JPN, 1026," 12 JUL 2023"""," ""993""",5000 Metres
985, Daiki HIROSE, 06 OCT 1991, JPN, 1026," 01 JUL 2023"""," ""975""",5000 Metres
985, Daiki HIROSE, 06 OCT 1991, JPN, 1026," 26 FEB 2023"""," ""978""",Marathon
985, Daiki HIROSE, 06 OCT 1991, JPN, 1026," 12 FEB 2023"""," ""986""",Half Marathon
986, Masami NAGAKURA, 27 MAR 1999, JPN, 1025," 03 DEC 2023"""," ""965""",Marathon
986, Masami NAGAKURA, 27 MAR 1999, JPN, 1025, 28:57.98 ," ""JPN""",10
986, Masami NAGAKURA, 27 MAR 1999, JPN, 1025," 12 JUL 2023"""," ""989""",5000 Metres
986, Masami NAGAKURA, 27 MAR 1999, JPN, 1025," 08 JUL 2023"""," ""983""",5000 Metres
986, Masami NAGAKURA, 27 MAR 1999, JPN, 1025," 04 MAY 2023"""," ""984""",5000 Metres
986, Masami NAGAKURA, 27 MAR 1999, JPN, 1025, 29:01.63 ," ""JPN""",10
986, Masami NAGAKURA, 27 MAR 1999, JPN, 1025," 26 FEB 2023"""," ""1059""",Marathon
986, Masami NAGAKURA, 27 MAR 1999, JPN, 1025," 12 FEB 2023"""," ""1056""",Half Marathon
987, Khalid LHMAID, 01 JAN 2000, MAR, 1025," 21 MAY 2023"""," ""877""",5000 Metres
987, Khalid LHMAID, 01 JAN 2000, MAR, 1025," 29 JAN 2023"""," ""1062""",Marathon
988, Adrien TOUCAS, 22 OCT 1990, FRA, 1025," 03 DEC 2023"""," ""1006""",Marathon
988, Adrien TOUCAS, 22 OCT 1990, FRA, 1025," 29 OCT 2023"""," ""785""",20 Kilometres Road
988, Adrien TOUCAS, 22 OCT 1990, FRA, 1025," 24 SEP 2023"""," ""894""",Half Marathon
988, Adrien TOUCAS, 22 OCT 1990, FRA, 1025," 28 MAY 2023"""," ""789""",Half Marathon
988, Adrien TOUCAS, 22 OCT 1990, FRA, 1025," 02 APR 2023"""," ""1064""",Marathon
988, Adrien TOUCAS, 22 OCT 1990, FRA, 1025," 05 MAR 2023"""," ""962""",Half Marathon
988, Adrien TOUCAS, 22 OCT 1990, FRA, 1025," 08 JAN 2023"""," ""870""",10 Kilometres Road
989, Shunpei ODA, 23 DEC 1995, JPN, 1025," 19 NOV 2023"""," ""1041""",Marathon
989, Shunpei ODA, 23 DEC 1995, JPN, 1025," 15 OCT 2023"""," ""894""",Half Marathon
989, Shunpei ODA, 23 DEC 1995, JPN, 1025," 02 JUL 2023"""," ""968""",Marathon
989, Shunpei ODA, 23 DEC 1995, JPN, 1025," 19 MAR 2023"""," ""999""",Marathon
989, Shunpei ODA, 23 DEC 1995, JPN, 1025," 29 JAN 2023"""," ""910""",Half Marathon
990, Shadrack KIMAIYO, 1992, KEN, 1025," 23 APR 2023"""," ""1009""",Half Marathon
991, Jumpei YAMAGUCHI, 05 FEB 1997, JPN, 1025," 03 DEC 2023"""," ""1028""",Marathon
991, Jumpei YAMAGUCHI, 05 FEB 1997, JPN, 1025," 15 OCT 2023"""," ""875""",Half Marathon
992, Abdenasir FATHI, 20 MAY 1987, MAR, 1024," 30 APR 2023"""," ""960""",Marathon
993, Yao ZHANG, 04 JUL 2003, CHN, 1024," 17 DEC 2023"""," ""Fuzhou Half Marathon",Half Marathon
993, Yao ZHANG, 04 JUL 2003, CHN, 1024," 22 APR 2023"""," ""977""",Marathon
994, Hibiki TSUBOI, 11 SEP 1996, JPN, 1024," 15 OCT 2023"""," ""1043""",Half Marathon
994, Hibiki TSUBOI, 11 SEP 1996, JPN, 1024," 21 MAY 2023"""," ""857""",5000 Metres
994, Hibiki TSUBOI, 11 SEP 1996, JPN, 1024, 30:23.26 ," ""JPN""",10
994, Hibiki TSUBOI, 11 SEP 1996, JPN, 1024," 19 FEB 2023"""," ""1008""",30 Kilometres Road
994, Hibiki TSUBOI, 11 SEP 1996, JPN, 1024," 12 FEB 2023"""," ""1049""",Half Marathon
995, Keita SHITARA, 18 DEC 1991, JPN, 1024," 05 MAR 2023"""," ""1105""",Marathon
995, Keita SHITARA, 18 DEC 1991, JPN, 1024," 05 FEB 2023"""," ""1088""",Half Marathon
