Place,Competitor,DOB,Nationality,Score,Date,res,City
441, Hiroshi ICHIDA,16 JUN 1992, JPN, 1129, 26 FEB 2023,JPN,Osaka
442, Abdu ASSEN,2002, ETH, 1129, 26 NOV 2023,FRA,La Rochelle
442, Abdu ASSEN,2002, ETH, 1129, 23 APR 2023,ESP,Madrid
442, Abdu ASSEN,2002, ETH, 1129, 12 FEB 2023,UAE,Dubai
443, Hassan TORISS,10 NOV 1992, MAR, 1129, 19 NOV 2023,JPN,Kobe
443, Hassan TORISS,10 NOV 1992, MAR, 1129, 29 OCT 2023,SUI,Luzern - World Military Championships
443, Hassan TORISS,10 NOV 1992, MAR, 1129, 17 SEP 2023,CHN,Shenyang
443, Hassan TORISS,10 NOV 1992, MAR, 1129, 04 AUG 2023,COD,Stade des Martyrs
443, Hassan TORISS,10 NOV 1992, MAR, 1129, DNF ,Complexe Sportif Prince Moulay Abdellah,Moroccan Championships
443, Hassan TORISS,10 NOV 1992, MAR, 1129, 24 JUN 2023,MAR,Le Grand Stade
443, Hassan TORISS,10 NOV 1992, MAR, 1129, 30 APR 2023,MAR,Rabat
444, Akihiro KANEKO,07 MAR 1994, JPN, 1128, 02 JUL 2023,AUS,Gold Coast
444, Akihiro KANEKO,07 MAR 1994, JPN, 1128, 28 MAY 2023,CAN,Ottawa
444, Akihiro KANEKO,07 MAR 1994, JPN, 1128, 12 FEB 2023,JPN,Ishin Me-Life Stadium
445, Masaki TSUDA,22 JAN 2000, JPN, 1128, 08 OCT 2023,USA,Chicago
445, Masaki TSUDA,22 JAN 2000, JPN, 1128, 28:59.95 ,USA,66rd Kyushu Corporate Athletics Championships
445, Masaki TSUDA,22 JAN 2000, JPN, 1128, 04 MAY 2023,JPN,Nishishina Athletic Stadium
445, Masaki TSUDA,22 JAN 2000, JPN, 1128, 05 FEB 2023,JPN,Beppu
446, Christian PACHECO,26 MAY 1993, PER, 1127, 22 OCT 2023,CHI,Santiago de Chile
446, Christian PACHECO,26 MAY 1993, PER, 1127, 28:51.17 ,PER,Grand Prix Sudamericano Pedro Gálvez Velarde
446, Christian PACHECO,26 MAY 1993, PER, 1127, 21 MAY 2023,PER,Lima10K
446, Christian PACHECO,26 MAY 1993, PER, 1127, 19 FEB 2023,ESP,Sevilla
447, Gizealew AYANA,11 FEB 2003, ETH, 1127, 10 DEC 2023,CHN,Guangzhou
447, Gizealew AYANA,11 FEB 2003, ETH, 1127, 02 APR 2023,FRA,Paris
448, Tristan WOODFINE,18 JUN 1993, CAN, 1127, 12 NOV 2023,USA,Boston
448, Tristan WOODFINE,18 JUN 1993, CAN, 1127, 04 NOV 2023,CAN,10km & Half Marathon
448, Tristan WOODFINE,18 JUN 1993, CAN, 1127, 17 JUN 2023,CAN,Toronto
448, Tristan WOODFINE,18 JUN 1993, CAN, 1127, 27 MAY 2023,CAN,Ottawa
448, Tristan WOODFINE,18 JUN 1993, CAN, 1127, 15 JAN 2023,ESP,Valencia
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 19 NOV 2023,NED,Nijmegen
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 15 OCT 2023,NED,Amsterdam
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 01 OCT 2023,LAT,Riga
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 29 JUL 2023,LAT,Jelgava
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 17 JUN 2023,AUT,LAZ Wien
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 10 JUN 2023,FRA,Montesson
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 28:13.72 ,FRA,Night of the 10
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 29 APR 2023,ITA,Arena Civica Gianni Brera
449, Therence BIZOZA,01 JAN 2004, BDI, 1127, 28:51.75 ,ITA,Campionati Regionale 10.000m
450, Getinet MELE GEDAMU,1989, ETH, 1127, 29 OCT 2023,FRA,Montereau
450, Getinet MELE GEDAMU,1989, ETH, 1127, 28 MAY 2023,FRA,Les Sables d'Olonne
450, Getinet MELE GEDAMU,1989, ETH, 1127, 20 MAY 2023,FRA,Stade C. Fichot
450, Getinet MELE GEDAMU,1989, ETH, 1127, 07 MAY 2023,FRA,Stade A. Delaune
450, Getinet MELE GEDAMU,1989, ETH, 1127, 16 APR 2023,FRA,Annecy
451, Evans KIPRONO,, KEN, 1127, 10 DEC 2023,ESP,Málaga
451, Evans KIPRONO,, KEN, 1127, 16 APR 2023,AUT,Linz
452, Yuma HATTORI,13 NOV 1993, JPN, 1127, 28:35.84 ,AUT,Hachioji Long Distance
452, Yuma HATTORI,13 NOV 1993, JPN, 1127, 07 MAY 2023,CZE,Praha
452, Yuma HATTORI,13 NOV 1993, JPN, 1127, 26 FEB 2023,JPN,Osaka
453, Le YANG,25 MAY 1996, CHN, 1127, 29 OCT 2023,CHN,Beijing
454, Bo LI,12 SEP 1993, CHN, 1127, 24 DEC 2023,CHN,Fangchenggang
454, Bo LI,12 SEP 1993, CHN, 1127, 12 NOV 2023,CHN,Nanchang
454, Bo LI,12 SEP 1993, CHN, 1127, 29 OCT 2023,CHN,Chengdu
454, Bo LI,12 SEP 1993, CHN, 1127, 27 AUG 2023,CHN,Harbin
454, Bo LI,12 SEP 1993, CHN, 1127, 09 APR 2023,CHN,Yangling
454, Bo LI,12 SEP 1993, CHN, 1127, 19 MAR 2023,CHN,Chongqing
455, Isaac KIBET,05 MAY 1996, UGA, 1127, 15 JUL 2023,ITA,Polisportivo Guido Maccan
455, Isaac KIBET,05 MAY 1996, UGA, 1127, 05 JUL 2023,POR,Estádio 1o de Maio
455, Isaac KIBET,05 MAY 1996, UGA, 1127, 17 JUN 2023,FRA,Langueux
455, Isaac KIBET,05 MAY 1996, UGA, 1127, 21 MAY 2023,JPN,International Stadium
455, Isaac KIBET,05 MAY 1996, UGA, 1127, 18 FEB 2023,AUS,Bathurst
456, Demeke KASAW,14 MAR 1998, ETH, 1127, 17 DEC 2023,TPE,Taipei City
457, Jackson Kemboi RUTTO,05 AUG 1993, KEN, 1127, 17 DEC 2023,TPE,Taipei City
457, Jackson Kemboi RUTTO,05 AUG 1993, KEN, 1127, 16 APR 2023,AUT,Linz
458, John MUIRIRI,1991, KEN, 1126, 15 OCT 2023,CHN,Shanghai
458, John MUIRIRI,1991, KEN, 1126, 11 JUN 2023,RWA,Kigali
459, Tendai ZIMUTO,25 JUL 1995, ZIM, 1126, 03 JUN 2023,RSA,Gqeberha
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 18 NOV 2023,CHN,Xichang
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 29 OCT 2023,CHN,Beijing
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 24 SEP 2023,CHN,Hengshui
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 31:30.71 ,CHN,National Athletics Championships
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, DNF ,Olympic Center,Chinese Champinships
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 30:23.61 ,Olympic Center,4th National Grand Prix
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 02 JUN 2023,CHN,Jiangjin Stadium
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 29:24.49 ,CHN,2nd National Grand Prix
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 26 APR 2023,CHN,Rizhao
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 16 APR 2023,CHN,Shanghai
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 29:53.87 ,CHN,Southwest China Regional Invitation Meeting
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 07 APR 2023,CHN,Sichuan Xipu Training Base
460, Cairen SUOLANG,28 JUL 1999, CHN, 1126, 19 MAR 2023,CHN,Wuxi
461, Geoffrey BIRGEN,, KEN, 1126, 03 DEC 2023,SGP,Singapore
461, Geoffrey BIRGEN,, KEN, 1126, 05 NOV 2023,THA,Chon Buri
461, Geoffrey BIRGEN,, KEN, 1126, 01 OCT 2023,MAS,Kuala Lumpur
462, Silas CHEPROT,06 NOV 1992, KEN, 1126, 26 NOV 2023,CHN,Shaoxing
462, Silas CHEPROT,06 NOV 1992, KEN, 1126, 22 OCT 2023,ITA,Venezia
463, Man SINGH,20 JUN 1989, IND, 1125, 05 OCT 2023,CHN,Qiantang River Green Belt
463, Man SINGH,20 JUN 1989, IND, 1125, 15 JAN 2023,IND,Mumbai
464, Abel Boniface SIKOWO,27 FEB 1999, UGA, 1125, 03 DEC 2023,ESP,Valencia
464, Abel Boniface SIKOWO,27 FEB 1999, UGA, 1125, 15 OCT 2023,NED,Amsterdam
464, Abel Boniface SIKOWO,27 FEB 1999, UGA, 1125, 27 AUG 2023,GBR,Larne
464, Abel Boniface SIKOWO,27 FEB 1999, UGA, 1125, 23 APR 2023,GBR,London
464, Abel Boniface SIKOWO,27 FEB 1999, UGA, 1125, 29 JAN 2023,ESP,Sevilla
465, Thomas BROATCH,08 NOV 1998, CAN, 1125, 25 NOV 2023,CAN,Ottawa - XC 10.0km
465, Thomas BROATCH,08 NOV 1998, CAN, 1125, 15 OCT 2023,CAN,Toronto - Canadian Marathon Ch
465, Thomas BROATCH,08 NOV 1998, CAN, 1125, 24 SEP 2023,CAN,Vancouver
465, Thomas BROATCH,08 NOV 1998, CAN, 1125, 30:15.53 ,CAN,Canadian 10
465, Thomas BROATCH,08 NOV 1998, CAN, 1125, 17 JUN 2023,CAN,Rashpal Dhillon  Oval
465, Thomas BROATCH,08 NOV 1998, CAN, 1125, 27 MAY 2023,CAN,Ottawa
465, Thomas BROATCH,08 NOV 1998, CAN, 1125, 12 FEB 2023,CAN,Vancouver
466, Cornelius Kibiwott CHEPKOK,31 DEC 1993, KEN, 1125, 03 SEP 2023,GER,Münster
466, Cornelius Kibiwott CHEPKOK,31 DEC 1993, KEN, 1125, 16 APR 2023,AUT,Linz
466, Cornelius Kibiwott CHEPKOK,31 DEC 1993, KEN, 1125, 21 JAN 2023,THA,Buri Ram
467, Wangjiang CEN,12 OCT 1990, CHN, 1125, 31 DEC 2023,CHN,Shenzhen
467, Wangjiang CEN,12 OCT 1990, CHN, 1125, 24 DEC 2023,CHN,Guangzhou
467, Wangjiang CEN,12 OCT 1990, CHN, 1125, 17 DEC 2023,CHN,Fuzhou
467, Wangjiang CEN,12 OCT 1990, CHN, 1125, 29 OCT 2023,CHN,Changsha
467, Wangjiang CEN,12 OCT 1990, CHN, 1125, 15 OCT 2023,CHN,Changzhou
467, Wangjiang CEN,12 OCT 1990, CHN, 1125, 21 MAY 2023,CHN,Taiyuan
467, Wangjiang CEN,12 OCT 1990, CHN, 1125, 19 MAR 2023,CHN,Chongqing
468, Ichitaka YAMASHITA,29 JUL 1997, JPN, 1124, 15 OCT 2023,JPN,Tokyo
468, Ichitaka YAMASHITA,29 JUL 1997, JPN, 1124, 27 AUG 2023,JPN,Budapest 2023
468, Ichitaka YAMASHITA,29 JUL 1997, JPN, 1124, 29:16.31 ,JPN,Hokuren Distance Challenge - Fukagawa
468, Ichitaka YAMASHITA,29 JUL 1997, JPN, 1124, 28:46.61 ,JPN,66rd Kyushu Corporate Athletics Championships
468, Ichitaka YAMASHITA,29 JUL 1997, JPN, 1124, 05 MAR 2023,JPN,Tokyo
469, Hiromasa KUMAHASHI,23 JUL 1994, JPN, 1124, 03 DEC 2023,JPN,Fukuoka
469, Hiromasa KUMAHASHI,23 JUL 1994, JPN, 1124, 15 OCT 2023,JPN,Tokyo
469, Hiromasa KUMAHASHI,23 JUL 1994, JPN, 1124, 29:27.84 ,JPN,3rd Chugoku Corporate Long Distance Challenge
469, Hiromasa KUMAHASHI,23 JUL 1994, JPN, 1124, 27 AUG 2023,JPN,Sapporo
469, Hiromasa KUMAHASHI,23 JUL 1994, JPN, 1124, 13 MAY 2023,JPN,Naruto Sports Park
469, Hiromasa KUMAHASHI,23 JUL 1994, JPN, 1124, 23 APR 2023,JPN,Gifu
469, Hiromasa KUMAHASHI,23 JUL 1994, JPN, 1124, 05 MAR 2023,JPN,Tokyo
469, Hiromasa KUMAHASHI,23 JUL 1994, JPN, 1124, 12 FEB 2023,JPN,Ishin Me-Life Stadium
469, Mohammed BENYETTOU,03 NOV 2000, ALG, 1124, 31 DEC 2023,ESP,Barcelona
469, Mohammed BENYETTOU,03 NOV 2000, ALG, 1124, 15 OCT 2023,NED,Amsterdam
469, Mohammed BENYETTOU,03 NOV 2000, ALG, 1124, 21 MAY 2023,FRA,Stade de la Margotière
469, Mohammed BENYETTOU,03 NOV 2000, ALG, 1124, 07 MAY 2023,FRA,Stade Jean Leroi
469, Mohammed BENYETTOU,03 NOV 2000, ALG, 1124, 15 JAN 2023,ESP,Valencia
471, Ryan CREECH,19 DEC 1991, IRL, 1124, 29 OCT 2023,IRL,Dublin - Irish Marathon Ch
471, Ryan CREECH,19 DEC 1991, IRL, 1124, 26 AUG 2023,IRL,Tullamore Harriers AC Stadium
471, Ryan CREECH,19 DEC 1991, IRL, 1124, 19 FEB 2023,ESP,Sevilla
472, Alberto GONZALEZ MINDEZ,28 FEB 1996, GUA, 1123, 03 DEC 2023,ESP,Valencia
472, Alberto GONZALEZ MINDEZ,28 FEB 1996, GUA, 1123, 29:12.24 ,CHI,Pan American Games
472, Alberto GONZALEZ MINDEZ,28 FEB 1996, GUA, 1123, 30:02.23 ,ESA,CAC Games
472, Alberto GONZALEZ MINDEZ,28 FEB 1996, GUA, 1123, 02 JUL 2023,ESA,San Salvador
472, Alberto GONZALEZ MINDEZ,28 FEB 1996, GUA, 1123, 28:55.38 ,ESA,Central American Championships
472, Alberto GONZALEZ MINDEZ,28 FEB 1996, GUA, 1123, 28:30.63 ,ESA,The TEN
472, Alberto GONZALEZ MINDEZ,28 FEB 1996, GUA, 1123, 15 JAN 2023,USA,Houston
473, Hamza SAHLI,10 MAY 1993, MAR, 1123, 29 OCT 2023,CHN,Changsha
473, Hamza SAHLI,10 MAY 1993, MAR, 1123, 22 OCT 2023,CHN,Dongying
473, Hamza SAHLI,10 MAY 1993, MAR, 1123, 01 OCT 2023,LAT,Riga
473, Hamza SAHLI,10 MAY 1993, MAR, 1123, 27 AUG 2023,Hősök tere,Budapest 2023
473, Hamza SAHLI,10 MAY 1993, MAR, 1123, 30 APR 2023,MAR,Rabat
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 03 DEC 2023,JPN,Fukuoka
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 22 OCT 2023,ESP,Valencia
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 01 OCT 2023,LAT,Riga
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 17 SEP 2023,AUS,presented by Asics 10K
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 26 AUG 2023,Canberra - XC 10.0km,Stromlo Forest Park
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 02 JUL 2023,AUS,Gold Coast - Oceania Marathon Championships
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 11 JUN 2023,AUS,Riverbend Park
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 07 MAY 2023,AUS,Sydney
474, Edward GODDARD,24 OCT 1997, AUS, 1123, 02 FEB 2023,AUS,Hagenauer Reserve
475, Gilbert CHUMBA,06 JUL 1986, KEN, 1123, 29 OCT 2023,ITA,Aquileia
475, Gilbert CHUMBA,06 JUL 1986, KEN, 1123, 23 APR 2023,ITA,Padova
476, Rui PINTO,18 NOV 1992, POR, 1123, 03 DEC 2023,ESP,Valencia
476, Rui PINTO,18 NOV 1992, POR, 1123, 22 OCT 2023,ESP,Valencia
476, Rui PINTO,18 NOV 1992, POR, 1123, 08 OCT 2023,POR,Lisboa
476, Rui PINTO,18 NOV 1992, POR, 1123, 24 SEP 2023,POR,Viana do Castelo
476, Rui PINTO,18 NOV 1992, POR, 1123, 22 JUL 2023,POR,Estádio Municipal Manuela Machado
476, Rui PINTO,18 NOV 1992, POR, 1123, 12 JUL 2023,POR,Estádio Municipal Manuela Machado
476, Rui PINTO,18 NOV 1992, POR, 1123, DNF ,Estádio José Vieira de Carvalho,Meeting Gala Fernanda Ribeiro
476, Rui PINTO,18 NOV 1992, POR, 1123, 16 APR 2023,NED,Rotterdam
476, Rui PINTO,18 NOV 1992, POR, 1123, 12 MAR 2023,POR,Lisboa - Elite Event
476, Rui PINTO,18 NOV 1992, POR, 1123, 26 FEB 2023,POR,Albufeira - XC 8.45km
476, Rui PINTO,18 NOV 1992, POR, 1123, 19 FEB 2023,ESP,Barcelona
476, Rui PINTO,18 NOV 1992, POR, 1123, 05 FEB 2023,ESP,Oropesa del Mar - XC 8.7km
477, Patrik WÄGELI,01 JAN 1991, SUI, 1123, 03 DEC 2023,ESP,Valencia
477, Patrik WÄGELI,01 JAN 1991, SUI, 1123, 17 SEP 2023,DEN,København
477, Patrik WÄGELI,01 JAN 1991, SUI, 1123, 29 JUL 2023,SUI,Stadio Comunale
477, Patrik WÄGELI,01 JAN 1991, SUI, 1123, 17 JUN 2023,SUI,Allmend
477, Patrik WÄGELI,01 JAN 1991, SUI, 1123, 23 APR 2023,SUI,Zürich - Swiss Marathon Ch
477, Patrik WÄGELI,01 JAN 1991, SUI, 1123, 19 FEB 2023,ESP,Barcelona
477, Reed FISCHER,09 JUL 1995, USA, 1123, 05 NOV 2023,NY,New York
477, Reed FISCHER,09 JUL 1995, USA, 1123, 01 OCT 2023,LAT,Riga
477, Reed FISCHER,09 JUL 1995, USA, 1123, 25 JUN 2023,USA,Boston
477, Reed FISCHER,09 JUL 1995, USA, 1123, 29 APR 2023,GER,Adi-Dassler-Straße 1
477, Reed FISCHER,09 JUL 1995, USA, 1123, 19 MAR 2023,USA,New York
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 30 SEP 2023,JPN,Denka Big Swan Stadium
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 29:45.58 ,JPN,71st All Japan Corporate Teams Athletics Championships
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 19 AUG 2023,JPN,Athletic Stadium
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 12 JUL 2023,JPN,Municipal Stadium
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 28:33.11 ,JPN,Hokuren Distance Challenge 2023 - Abashiri
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 20 MAY 2023,JPN,Municipal Stadium
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 29:29.62 ,JPN,34th Golden Games
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 28:42.04 ,JPN,71st Hyogo Relay Carnival
479, Eikichi KAZAOKA,06 NOV 1995, JPN, 1123, 05 FEB 2023,JPN,Beppu
480, Ezekiel KEMBOI OMULLO,10 DEC 1987, KEN, 1122, 02 JUL 2023,AUS,Gold Coast
480, Ezekiel KEMBOI OMULLO,10 DEC 1987, KEN, 1122, 21 JAN 2023,THA,Buri Ram
481, Hiroto INOUE,06 JAN 1993, JPN, 1122, 28:17.22 ,THA,7th NITTAIDAI Challenge Games
481, Hiroto INOUE,06 JAN 1993, JPN, 1122, 15 OCT 2023,JPN,Tokyo
481, Hiroto INOUE,06 JAN 1993, JPN, 1122, 12 JUL 2023,JPN,Municipal Stadium
481, Hiroto INOUE,06 JAN 1993, JPN, 1122, 29:00.75 ,JPN,Hokuren Distance Challenge - Fukagawa
481, Hiroto INOUE,06 JAN 1993, JPN, 1122, 28:31.20 ,JPN,66rd Kyushu Corporate Athletics Championships
481, Hiroto INOUE,06 JAN 1993, JPN, 1122, 05 MAR 2023,JPN,Tokyo
482, Joseph MUNYWOKI,1992, KEN, 1122, 22 OCT 2023,POL,Poznan
482, Joseph MUNYWOKI,1992, KEN, 1122, 10 SEP 2023,EST,Tallinn
483, Hélio GOMES,27 DEC 1984, POR, 1122, 22 OCT 2023,ESP,Valencia
483, Hélio GOMES,27 DEC 1984, POR, 1122, 24 SEP 2023,POR,Viana do Castelo
483, Hélio GOMES,27 DEC 1984, POR, 1122, 02 APR 2023,FRA,Paris
483, Hélio GOMES,27 DEC 1984, POR, 1122, 12 MAR 2023,POR,Lisboa - Elite Event
483, Hélio GOMES,27 DEC 1984, POR, 1122, 22 JAN 2023,POR,Viana do Castelo
484, Embay GOITOM,, ETH, 1122, 21 MAY 2023,IND,Bengaluru
485, Naoya SAKUDA,17 DEC 1994, JPN, 1121, 15 OCT 2023,JPN,Tokyo
485, Naoya SAKUDA,17 DEC 1994, JPN, 1121, 05 FEB 2023,JPN,Beppu
486, Filimon ABRAHAM,09 NOV 1992, GER, 1121, 28:12.56 ,JPN,Night of the 10
486, Filimon ABRAHAM,09 NOV 1992, GER, 1121, 28:12.79 ,JPN,German 10
486, Filimon ABRAHAM,09 NOV 1992, GER, 1121, 19 MAR 2023,ESP,Barcelona
487, Yota IFUKU,23 DEC 2002, JPN, 1121, 15 OCT 2023,JPN,Tokyo
487, Yota IFUKU,23 DEC 2002, JPN, 1121, 08 JUL 2023,JPN,Mikio Oda Memorial Athletic Field
487, Yota IFUKU,23 DEC 2002, JPN, 1121, 14 MAY 2023,JPN,Gion Stadium
487, Yota IFUKU,23 DEC 2002, JPN, 1121, 02 APR 2023,JPN,National Stadium
487, Yota IFUKU,23 DEC 2002, JPN, 1121, 12 MAR 2023,JPN,Showa Park
487, Yota IFUKU,23 DEC 2002, JPN, 1121, 19 FEB 2023,JPN,Ohme
488, Victor Kiplagat SEREM,, KEN, 1121, 01 OCT 2023,MKD,Skopje
488, Victor Kiplagat SEREM,, KEN, 1121, 19 MAR 2023,KOR,Seoul
489, Kifele KEFYALEW,2004, ETH, 1121, 03 SEP 2023,GER,Münster
489, Kifele KEFYALEW,2004, ETH, 1121, 23 APR 2023,SUI,Zürich
490, James NGANDU,02 APR 1990, KEN, 1121, 12 NOV 2023,USA,Boston
490, James NGANDU,02 APR 1990, KEN, 1121, 17 JUN 2023,USA,Duluth
490, James NGANDU,02 APR 1990, KEN, 1121, 07 MAY 2023,USA,Pittsburgh
490, James NGANDU,02 APR 1990, KEN, 1121, 15 JAN 2023,USA,Houston
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 19 NOV 2023,Hulshout - XC 9.35km,Sportpark Joris Verhaegen
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 22 OCT 2023,ESP,Valencia
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 10 SEP 2023,ROU,Brasov
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 03 SEP 2023,NED,Rotterdam
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 05 AUG 2023,BEL,Oscar van Rumst Stadion
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 22 JUL 2023,BEL,Stedelijke Atletiekpiste
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 07 MAY 2023,BEL,Stade Naimette-Xhovémont
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 02 APR 2023,GER,Berlin
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 12 MAR 2023,BEL,Gent - Belgian Half Marathon Ch
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 26 FEB 2023,Bruxelles - XC 9.0km,Laeken Park
491, Dorian BOULVIN,05 JUN 1997, BEL, 1121, 22 JAN 2023,BEL,Hannut - XC 9.0km
492, Hillary KIPSAMBU,04 FEB 1985, KEN, 1120, 29 OCT 2023,CHN,Changsha
492, Hillary KIPSAMBU,04 FEB 1985, KEN, 1120, 22 OCT 2023,CHN,Dongying
492, Hillary KIPSAMBU,04 FEB 1985, KEN, 1120, 14 MAY 2023,DEN,København
493, Paul TIONGIK,08 DEC 1990, KEN, 1120, 15 OCT 2023,ITA,Telese Terme
493, Paul TIONGIK,08 DEC 1990, KEN, 1120, 01 OCT 2023,ITA,Napoli
493, Paul TIONGIK,08 DEC 1990, KEN, 1120, 23 APR 2023,SRB,Beograd
493, Paul TIONGIK,08 DEC 1990, KEN, 1120, 29:32.66 ,SRB,CDS Corsa Fase Regionale 10000 metri su pista
493, Paul TIONGIK,08 DEC 1990, KEN, 1120, 26 MAR 2023,POL,Warszawa
493, Paul TIONGIK,08 DEC 1990, KEN, 1120, 12 MAR 2023,ITA,Gubbio - XC 10.0km
493, Paul TIONGIK,08 DEC 1990, KEN, 1120, 05 MAR 2023,ITA,Roma
494, Mohamed Reda EL AARABY,12 NOV 1989, MAR, 1120, 12 NOV 2023,USA,Boston
494, Mohamed Reda EL AARABY,12 NOV 1989, MAR, 1120, 29 OCT 2023,SUI,Luzern - World Military Championships
494, Mohamed Reda EL AARABY,12 NOV 1989, MAR, 1120, 01 OCT 2023,LAT,Riga
494, Mohamed Reda EL AARABY,12 NOV 1989, MAR, 1120, 27 AUG 2023,LAT,Budapest 2023
494, Mohamed Reda EL AARABY,12 NOV 1989, MAR, 1120, 30 APR 2023,MAR,Rabat
494, Mohamed Reda EL AARABY,12 NOV 1989, MAR, 1120, 05 MAR 2023,JPN,Tokyo
494, Mohamed Reda EL AARABY,12 NOV 1989, MAR, 1120, 15 JAN 2023,USA,Houston
495, Samwel KIPTOO,1992, KEN, 1120, 24 SEP 2023,ARG,Buenos Aires
495, Samwel KIPTOO,1992, KEN, 1120, 11 JUN 2023,BRA,Rio de Janeiro
496, Tim VINCENT,06 SEP 1998, AUS, 1120, 19 NOV 2023,JPN,Kobe
496, Tim VINCENT,06 SEP 1998, AUS, 1120, 01 OCT 2023,LAT,Riga
496, Tim VINCENT,06 SEP 1998, AUS, 1120, 06 AUG 2023,CHN,Shuangliu Sports Centre
496, Tim VINCENT,06 SEP 1998, AUS, 1120, 02 JUL 2023,AUS,Gold Coast - Oceania Marathon Championships
496, Tim VINCENT,06 SEP 1998, AUS, 1120, 11 JUN 2023,AUS,Riverbend Park
497, Frank LARA,25 SEP 1995, USA, 1120, 08 OCT 2023,USA,Chicago
497, Frank LARA,25 SEP 1995, USA, 1120, 23 APR 2023,GBR,London
497, Frank LARA,25 SEP 1995, USA, 1120, 19 MAR 2023,USA,New York
497, Frank LARA,25 SEP 1995, USA, 1120, 28:00.75 ,USA,The TEN
497, Frank LARA,25 SEP 1995, USA, 1120, 11 FEB 2023,USA,Boston Univ. Track & Tennis Center
497, Frank LARA,25 SEP 1995, USA, 1120, 15 JAN 2023,USA,Houston
498, Elvis TABARACH,1997, KEN, 1120, 21 OCT 2023,ESP,Bilbao
498, Elvis TABARACH,1997, KEN, 1120, 08 OCT 2023,FRA,Paris
498, Elvis TABARACH,1997, KEN, 1120, 09 SEP 2023,EST,Tallinn
498, Elvis TABARACH,1997, KEN, 1120, 16 APR 2023,NED,Enschede
498, Elvis TABARACH,1997, KEN, 1120, 05 MAR 2023,ITA,Roma
498, Elvis TABARACH,1997, KEN, 1120, 11 FEB 2023,KSA,Riyadh
499, Michaël GRAS,15 SEP 1991, FRA, 1119, 03 DEC 2023,ESP,Valencia
499, Michaël GRAS,15 SEP 1991, FRA, 1119, 17 SEP 2023,DEN,København
499, Michaël GRAS,15 SEP 1991, FRA, 1119, 11 JUN 2023,FRA,Paris
499, Michaël GRAS,15 SEP 1991, FRA, 1119, 14 MAY 2023,FRA,Lens
499, Michaël GRAS,15 SEP 1991, FRA, 1119, 01 MAY 2023,FRA,Le Puy-en-Velay
499, Michaël GRAS,15 SEP 1991, FRA, 1119, 19 MAR 2023,FRA,St-Médard
499, Michaël GRAS,15 SEP 1991, FRA, 1119, 12 MAR 2023,Carhaix - XC 9.81km,Site de Kerampuilh
499, Michaël GRAS,15 SEP 1991, FRA, 1119, 19 FEB 2023,ESP,Barcelona
