Place,Competitor,DOB,Nat,Nat.1_SRC,Score,Event_List
621,Tadashi ISSHIKI,05 JUN 1994,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1096,Marathon [Half Marathon]
622,Milton Rotich KIPLAGAT,29 MAR 1986,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1096,Marathon
623,Archie CASTEEL,13 AUG 1996,SWE,https://media.aws.iaaf.org/Flags/SWE.gif,1095,Marathon
624,Negese MEKONEN,,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1095,Marathon
625,Soufiyan BOUQANTAR,30 AUG 1993,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1095,Marathon
626,Alexis GODEFROY,29 JUL 1994,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1095,Marathon [Half Marathon]
627,Junnosuke MATSUO,15 JUN 1997,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1094,Marathon
628,Yemane HAILESELASSIE,21 FEB 1998,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1094,Marathon [Half Marathon]
629,Kamil JASTRZĘBSKI,26 AUG 1992,POL,https://media.aws.iaaf.org/Flags/POL.gif,1094,Marathon
630,Akira TOMIYASU,07 MAR 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1094,Marathon [Half Marathon]
631,Tilahun NIGUSIE,30 NOV 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1094,Marathon
632,Yuki TAKAMIYA,02 DEC 1987,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1093,Marathon
633,Hillary CHEMWENO,1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1093,Marathon
634,Omar HASSAN,11 NOV 1990,ART,https://media.aws.iaaf.org/Flags/ART.gif,1093,Marathon
635,Zelalem Yihunie AKALU,28 SEP 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1092,Marathon
636,Abdelkarim BEN ZAHRA,27 OCT 1998,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1092,Marathon [Half Marathon]
637,Jose Luis SANTANA MARIN,26 SEP 1989,MEX,https://media.aws.iaaf.org/Flags/MEX.gif,1092,Marathon
638,Shusei OHASHI,12 APR 1990,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1092,Marathon
639,Fikadu KEBEBE,20 SEP 1986,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1092,Marathon
640,Guoxiong SU,26 MAY 1992,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1091,Marathon
641,Koki TAKADA,13 JUN 1993,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1091,Marathon
642,John ROTICH,,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1091,Marathon
643,Takuma TAKEMURA,05 DEC 2000,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1091,Marathon [Half Marathon]
644,Onesphore NZIKWINKUNDA,10 JUN 1997,BDI,https://media.aws.iaaf.org/Flags/BDI.gif,1091,Marathon [Half Marathon]
645,Gadissa BEKELE,12 SEP 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1091,Marathon [Half Marathon]
646,Keigo YANO,03 DEC 1991,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1091,Marathon [Half Marathon]
647,David RONO,1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1091,Marathon
648,Lyle O'BRIEN,,USA,https://media.aws.iaaf.org/Flags/USA.gif,1091,Marathon
649,Kegu YANG,02 JUN 2000,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1090,Marathon [Half Marathon]
650,Daniel MUINDI,10 NOV 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1090,Marathon [Half Marathon]
651,Justin KENT,30 APR 1992,CAN,https://media.aws.iaaf.org/Flags/CAN.gif,1090,Marathon
652,Dominik ROLLI,19 FEB 1996,SUI,https://media.aws.iaaf.org/Flags/SUI.gif,1090,Marathon
653,Ederson VILELA PEREIRA,06 JUN 1990,BRA,https://media.aws.iaaf.org/Flags/BRA.gif,1089,Marathon
654,David KIPYEGO,,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1089,Marathon
655,Jeremia SHALIAXWE,06 JUN 1988,NAM,https://media.aws.iaaf.org/Flags/NAM.gif,1089,Marathon
656,Dominick Kipkirui BETT,23 JUL 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1089,Marathon [Half Marathon]
657,Sisay FEKADU,,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1089,Marathon
658,Hong-rok KIM,19 AUG 2002,KOR,https://media.aws.iaaf.org/Flags/KOR.gif,1089,Marathon
659,Micah CHEMWENO,1997,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1088,Marathon
660,Erick Leon NDIEMA,01 JAN 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1088,Marathon [Half Marathon]
661,Yuki TSUTSUMI,16 APR 1993,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1088,Marathon [Half Marathon]
662,Mulat BAZEZEW,1999,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1088,Marathon [Half Marathon]
663,Joel MWAURA,20 JAN 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1087,Marathon [Half Marathon]
664,Jiahao WANG,,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1087,Marathon
665,Kenta UCHIDA,19 JAN 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1087,Marathon [Half Marathon]
666,Kenta FUKUMURA,07 OCT 1994,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1087,Marathon [Half Marathon]
666,John LANGAT,02 OCT 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1087,Marathon
668,Eulalio MUNOZ,16 JUL 1995,ARG,https://media.aws.iaaf.org/Flags/ARG.gif,1087,Marathon
669,George ONYANCHA,10 JUN 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1086,Marathon
670,Bugatha SRINU,16 JUN 1992,IND,https://media.aws.iaaf.org/Flags/IND.gif,1086,Marathon
671,Ulises MARTIN-AMBROSIO,26 MAY 1993,PER,https://media.aws.iaaf.org/Flags/PER.gif,1086,Marathon
672,Julius OCHIENG,15 APR 1990,UGA,https://media.aws.iaaf.org/Flags/UGA.gif,1086,Marathon
673,Shengo KEBEDE,02 NOV 1989,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1086,Marathon
674,Daverson RAMOS,06 JUN 1991,PER,https://media.aws.iaaf.org/Flags/PER.gif,1086,Marathon
675,Emmanuel SIKUKU,12 MAY 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1085,Marathon
676,Pedro GOMEZ,08 JUN 1987,ARG,https://media.aws.iaaf.org/Flags/ARG.gif,1085,Marathon
677,Sota FUKUTANI,20 JUN 2000,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1085,Marathon [Half Marathon]
678,Linus ROSDAL,11 MAR 1992,SWE,https://media.aws.iaaf.org/Flags/SWE.gif,1085,Marathon
679,Faraja Lazaro DAMASI,25 JUL 1997,TAN,https://media.aws.iaaf.org/Flags/TAN.gif,1085,Marathon [Half Marathon]
680,Kento OTSU,07 DEC 1991,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1085,Marathon [Half Marathon]
681,Frank FUTSELAAR,16 JUL 1991,NED,https://media.aws.iaaf.org/Flags/NED.gif,1085,Marathon [Half Marathon]
682,Dewi GRIFFITHS,09 AUG 1991,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1085,Marathon [Half Marathon]
683,Gantulga DAMBADARJAA,03 FEB 1989,MGL,https://media.aws.iaaf.org/Flags/MGL.gif,1085,Marathon
684,Cristhian ZAMORA,15 JAN 1991,URU,https://media.aws.iaaf.org/Flags/URU.gif,1085,Marathon [Half Marathon]
685,Andreas VOJTA,09 JUN 1989,AUT,https://media.aws.iaaf.org/Flags/AUT.gif,1085,Marathon [Half Marathon]
686,Hiko Tonosa HASO,09 OCT 1995,IRL,https://media.aws.iaaf.org/Flags/IRL.gif,1085,Marathon [Half Marathon]
687,Abednego CHERUIYOT,09 FEB 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1084,Marathon
688,Daniel KIPROTICH,04 APR 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1084,Marathon [Half Marathon]
689,Paul Katisha MATHEKA,31 AUG 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1084,Marathon
690,Ivan Dario GONZALEZ,14 AUG 1987,COL,https://media.aws.iaaf.org/Flags/COL.gif,1084,Marathon [Half Marathon]
690,Sydney GIDABUDAY,21 AUG 1996,USA,https://media.aws.iaaf.org/Flags/USA.gif,1084,Marathon
692,Melese KIFLE,2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1083,Marathon
693,Ciren ZHAXI,16 NOV 2002,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1083,Marathon [Half Marathon]
694,Hiribo SHANO,12 FEB 1999,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1083,Marathon
695,Reece EDWARDS,24 OCT 1990,AUS,https://media.aws.iaaf.org/Flags/AUS.gif,1083,Marathon
696,Dongzhibu RENQING,15 OCT 2000,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1083,Marathon
697,Takuto HAGESHITA,29 OCT 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1082,Marathon [Half Marathon]
698,Abdelilah ELMAIMOUNI,01 MAY 1992,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1081,Marathon [Half Marathon]
699,Elija KEMBOI,10 SEP 1984,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1081,Marathon
700,Saul ACOSTA,02 AUG 1990,MEX,https://media.aws.iaaf.org/Flags/MEX.gif,1081,Marathon
701,Filmon ANDE,10 FEB 1998,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1081,Marathon [Half Marathon]
702,Paul Kipngetich TANUI,22 DEC 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1080,Marathon [Half Marathon]
703,Alejandro JIMENEZ,22 AUG 1984,ESP,https://media.aws.iaaf.org/Flags/ESP.gif,1080,Marathon [Half Marathon]
704,Tom THURLEY,13 SEP 1993,GER,https://media.aws.iaaf.org/Flags/GER.gif,1080,Marathon
705,Moses MENGICH,20 JAN 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1080,Marathon
706,Duojie ZHAXI,29 NOV 1999,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1080,Marathon [Half Marathon]
707,Abera KETEMA,,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1080,Marathon
708,Xiaohong ZHANG,15 JUL 1996,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1079,Marathon
709,Adil OULAD LIDAME,02 FEB 1982,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1079,Marathon [Half Marathon]
710,Abraham BIWOTT,01 JAN 1982,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1079,Marathon
711,Mica Kiplagat CHESEREK,12 OCT 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1078,Marathon [Half Marathon]
712,Sishuang SHAO,05 FEB 2000,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1078,Marathon
713,Elijah THIGA,,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1078,Marathon
714,Gebrie ERIKHUN,11 SEP 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1078,Marathon [Half Marathon]
715,Kazuki MURAMOTO,10 NOV 1992,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1078,Marathon [Half Marathon]
716,Kenneth KEMBOI,12 SEP 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1077,Marathon
717,Guangyao WANG,03 FEB 1999,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1077,Marathon
718,Lee WESSELIUS,06 JAN 1994,CAN,https://media.aws.iaaf.org/Flags/CAN.gif,1077,Marathon
719,Kazuto KAWABATA,20 DEC 1995,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1077,Marathon [Half Marathon]
720,KOrme NEGASI,,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1076,Marathon
721,Duber ABDISHA,02 JAN 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1076,Marathon
722,Takuya FUJIKAWA,17 DEC 1992,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1076,Marathon [Half Marathon]
723,Zicheng LI,10 APR 1990,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1076,Marathon
724,Mathew KEMBOI,06 MAR 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1075,Marathon [Half Marathon]
725,Ronald Kiprotich KIRUI,06 DEC 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1075,Marathon [Half Marathon]
726,Aleksey REUNKOV,28 JAN 1984,RUS,https://media.aws.iaaf.org/Flags/RUS.gif,1075,Marathon
727,Riad GUERFI,15 OCT 1987,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1075,Marathon
728,JP FLAVIN,31 JUL 1998,USA,https://media.aws.iaaf.org/Flags/USA.gif,1075,Marathon [25 km Road]
729,Ryan GREGSON,26 APR 1990,AUS,https://media.aws.iaaf.org/Flags/AUS.gif,1075,Marathon [Half Marathon]
730,Tesfu TEWELDE,21 JUL 1997,ERI,https://media.aws.iaaf.org/Flags/ERI.gif,1074,Marathon
731,Simon PAULUS,04 MAY 1998,NAM,https://media.aws.iaaf.org/Flags/NAM.gif,1074,Marathon [Half Marathon]
732,Fumihiro MARUYAMA,01 JUL 1990,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1074,Marathon
733,Shota NISHIWAKI,27 APR 2001,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1074,Marathon [Half Marathon]
734,Andrew Ben KIMTAI,12 AUG 1989,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1074,Marathon
735,Liam BOUDIN,03 SEP 1997,AUS,https://media.aws.iaaf.org/Flags/AUS.gif,1074,Marathon [Half Marathon]
736,Gaetan CALS,21 APR 1988,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1074,Marathon
737,Colin MICKOW,15 MAR 1990,USA,https://media.aws.iaaf.org/Flags/USA.gif,1074,Marathon
738,Adrian LEHMANN,06 DEC 1989,SUI,https://media.aws.iaaf.org/Flags/SUI.gif,1073,Marathon [Half Marathon]
739,Cesare MAESTRI,12 NOV 1993,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1073,Marathon [Half Marathon]
740,Nelson ITO CCURO,12 APR 1990,PER,https://media.aws.iaaf.org/Flags/PER.gif,1073,Marathon
741,Eddie MULDER,,USA,https://media.aws.iaaf.org/Flags/USA.gif,1073,Marathon
742,Kazuma ITO,17 JUN 1988,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1073,Marathon [Half Marathon]
743,Adamu GETAHUM,2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1072,Marathon
744,Jun XUE,20 DEC 1999,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1072,Marathon
745,Frank LUJAN,17 JAN 2000,PER,https://media.aws.iaaf.org/Flags/PER.gif,1071,Marathon [Half Marathon]
746,Kiyohito AKIYAMA,19 NOV 1994,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1071,Marathon [Half Marathon]
747,Masaru AOKI,16 MAY 1990,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1071,Marathon [Half Marathon]
748,Martin Esteban CUESTAS,08 DEC 1986,URU,https://media.aws.iaaf.org/Flags/URU.gif,1071,Marathon
749,Kei KATANISHI,18 MAR 1997,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1071,Marathon [Half Marathon]
750,Stephen MUNGATHIA,,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1070,Marathon
751,Kazuya AZEKAMI,14 NOV 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1070,Marathon [Half Marathon]
752,Wang XU,06 DEC 1990,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1070,Marathon
753,Kosei MACHIDA,22 OCT 2000,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1069,Marathon [Half Marathon]
754,Enock KIPKEMBOI,24 DEC 2000,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1069,Marathon
755,Lorenz BAUM,25 MAY 1990,GER,https://media.aws.iaaf.org/Flags/GER.gif,1069,Marathon
756,Dmitriy NEDELIN,25 NOV 1991,RUS,https://media.aws.iaaf.org/Flags/RUS.gif,1069,Marathon
757,Ryotaro NATORI,21 JUL 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1069,Marathon [Half Marathon]
758,Anubaike KUWAN,18 MAR 1996,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1069,Marathon
759,Ryuichi YOSHIOKA,17 SEP 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1069,Marathon [Half Marathon]
759,Jacob HESLINGTON,18 OCT 1994,USA,https://media.aws.iaaf.org/Flags/USA.gif,1069,Marathon [Half Marathon]
761,Ernesto Andrés ZAMORA,13 APR 1983,URU,https://media.aws.iaaf.org/Flags/URU.gif,1068,Marathon
762,Benson NZIOKI,25 APR 2003,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1068,Marathon [Half Marathon]
763,Maxwell ROTICH,05 AUG 1998,UGA,https://media.aws.iaaf.org/Flags/UGA.gif,1068,Marathon [Half Marathon]
764,Simion TARUS,,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1068,Marathon
765,Masaki SAKUDA,06 MAY 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1068,Marathon
766,Yohan ZARADZKI,21 SEP 1994,BEL,https://media.aws.iaaf.org/Flags/BEL.gif,1068,Marathon
767,Ben CONNOR,17 OCT 1992,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1068,Marathon [Half Marathon]
768,Alan PETERSON,04 NOV 1991,USA,https://media.aws.iaaf.org/Flags/USA.gif,1067,Marathon
769,Ben OLSON,02 APR 2000,USA,https://media.aws.iaaf.org/Flags/USA.gif,1067,Marathon
770,Jungsub SHIM,21 FEB 1991,KOR,https://media.aws.iaaf.org/Flags/KOR.gif,1067,Marathon
771,Ivan SIURIS,17 JUN 1991,MDA,https://media.aws.iaaf.org/Flags/MDA.gif,1066,Marathon
772,Connor WEAVER,,USA,https://media.aws.iaaf.org/Flags/USA.gif,1066,Marathon
773,Juan Luis BARRIOS,24 JUN 1983,MEX,https://media.aws.iaaf.org/Flags/MEX.gif,1066,Marathon [Half Marathon]
774,Bo ZHOU,09 AUG 1993,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1066,Marathon
775,Jonas HAMPTON,20 JAN 1989,USA,https://media.aws.iaaf.org/Flags/USA.gif,1065,Marathon
776,Patrick SMYTH,06 AUG 1986,USA,https://media.aws.iaaf.org/Flags/USA.gif,1065,Marathon
777,Mathew KIPTOO,12 JUL 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1065,Marathon
778,Nadir YUSUF,,USA,https://media.aws.iaaf.org/Flags/USA.gif,1065,Marathon
779,Josphat KIPROTICH,,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1064,Marathon [Half Marathon]
780,Parker STINSON,03 MAR 1992,USA,https://media.aws.iaaf.org/Flags/USA.gif,1064,Marathon [Half Marathon]
781,Enos KALES,01 JAN 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1064,Marathon [Half Marathon]
782,Riley COCKS,27 DEC 1995,AUS,https://media.aws.iaaf.org/Flags/AUS.gif,1064,Marathon [Half Marathon]
783,Zablon CHUMBA,20 DEC 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1064,Marathon
784,Turner WILEY,17 APR 1993,USA,https://media.aws.iaaf.org/Flags/USA.gif,1064,Marathon
784,Shunhu LIAO,02 OCT 1985,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1064,Marathon
786,Daiji KAWAI,22 SEP 1991,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1063,Marathon
787,Freddy GUIMARD,26 DEC 1986,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1063,Marathon [Half Marathon]
788,David RODRIGUEZ,10 APR 1992,ARG,https://media.aws.iaaf.org/Flags/ARG.gif,1063,Marathon [Half Marathon]
789,Ildar MINSHIN,05 FEB 1985,RUS,https://media.aws.iaaf.org/Flags/RUS.gif,1063,Marathon
790,Habtamu CHENEY,09 MAY 1999,USA,https://media.aws.iaaf.org/Flags/USA.gif,1063,Marathon
791,Hugh ARMSTRONG,20 SEP 1994,IRL,https://media.aws.iaaf.org/Flags/IRL.gif,1062,Marathon [Half Marathon]
792,Mokofane Milton KEKANA,03 OCT 1995,RSA,https://media.aws.iaaf.org/Flags/RSA.gif,1062,Marathon [Half Marathon]
793,Hiroto ISHIWATA,30 JAN 1999,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1062,Marathon [Half Marathon]
794,Yuji SHIBUKAWA,29 MAY 1992,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1062,Marathon
795,Jerod BROADBOOKS,24 MAR 1997,USA,https://media.aws.iaaf.org/Flags/USA.gif,1062,Marathon
796,Aleksey TROSHKIN,09 MAR 1986,RUS,https://media.aws.iaaf.org/Flags/RUS.gif,1062,Marathon
797,Will NATION,02 MAR 1992,USA,https://media.aws.iaaf.org/Flags/USA.gif,1061,Marathon
798,Ulise MARTIN,26 MAY 1996,PER,https://media.aws.iaaf.org/Flags/PER.gif,1061,Marathon [Half Marathon]
799,Jose Mauricio GONZÁLEZ,14 OCT 1988,COL,https://media.aws.iaaf.org/Flags/COL.gif,1061,Marathon [Half Marathon]
800,Samir BENALI,1988,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1061,Marathon [Half Marathon]
801,Ilia TIAPKIN,02 AUG 1991,KGZ,https://media.aws.iaaf.org/Flags/KGZ.gif,1061,Marathon
802,David NILSSON,16 APR 1987,SWE,https://media.aws.iaaf.org/Flags/SWE.gif,1061,Marathon
803,Koshiro HIRATA,25 JAN 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1060,Marathon [Half Marathon]
804,Tomas Hilifa RAINHOLD,07 FEB 1991,NAM,https://media.aws.iaaf.org/Flags/NAM.gif,1059,Marathon [Half Marathon]
805,Mykola NYZHNYK,26 JUL 1995,UKR,https://media.aws.iaaf.org/Flags/UKR.gif,1059,Marathon [Half Marathon]
806,Shadrack KIPCHIRCHIR,22 FEB 1989,USA,https://media.aws.iaaf.org/Flags/USA.gif,1059,Marathon
807,Tao WANG,16 MAY 1994,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1059,Marathon
808,Alex KORIO,20 NOV 1990,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1059,Marathon [Half Marathon]
809,Said EL OTMANI,14 OCT 1991,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1058,Marathon [Half Marathon]
810,Ezekiel KIPKORIR,1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1058,Marathon [Half Marathon]
811,Hayato MIYASHITA,15 OCT 1999,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1058,Marathon [Half Marathon]
812,Simon SIBEKO,15 JAN 1995,RSA,https://media.aws.iaaf.org/Flags/RSA.gif,1058,Marathon [Half Marathon]
813,Vitaliy SHAFAR,27 JAN 1982,UKR,https://media.aws.iaaf.org/Flags/UKR.gif,1058,Marathon
814,Yongmin SHIN,09 MAR 2001,KOR,https://media.aws.iaaf.org/Flags/KOR.gif,1058,Marathon
815,Shoma YAMAMOTO,10 APR 1995,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1057,Marathon
816,Konstantin WEDEL,22 NOV 1993,GER,https://media.aws.iaaf.org/Flags/GER.gif,1057,Marathon [Half Marathon]
817,Giuseppe GERRATANA,08 NOV 1992,ITA,https://media.aws.iaaf.org/Flags/ITA.gif,1057,Marathon [Half Marathon]
818,Evans YEGO,05 SEP 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1057,Marathon
819,Rene ORTIZ,29 SEP 1989,MEX,https://media.aws.iaaf.org/Flags/MEX.gif,1057,Marathon
820,Taira KATO,02 MAY 1993,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1056,Marathon
821,Nick HAUGER,20 APR 1996,USA,https://media.aws.iaaf.org/Flags/USA.gif,1056,Marathon
822,Kodai TOYOTA,04 JAN 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1056,Marathon [Half Marathon]
823,Motlagale TUMELO,21 FEB 1995,RSA,https://media.aws.iaaf.org/Flags/RSA.gif,1055,Marathon
824,Alexander LEPRETRE,12 MAY 1993,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1055,Marathon
825,Maxime LOPES,17 JUN 1991,FRA,https://media.aws.iaaf.org/Flags/FRA.gif,1055,Marathon
826,Melikhaya FRANS,05 FEB 1990,RSA,https://media.aws.iaaf.org/Flags/RSA.gif,1055,Marathon [Half Marathon]
827,Luis Alberto ORTA,15 JAN 1989,VEN,https://media.aws.iaaf.org/Flags/VEN.gif,1055,Marathon [Half Marathon]
828,Sammy ROTICH,11 NOV 1986,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1055,Marathon
829,Shogo HIFUMI,20 OCT 1995,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1055,Marathon [Half Marathon]
830,Michael MUTAI,08 JUN 1983,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1054,Marathon [Half Marathon]
831,Samuel MWANIKI,15 AUG 1984,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1054,Marathon
832,Will NORRIS,,USA,https://media.aws.iaaf.org/Flags/USA.gif,1054,Marathon
833,Naoki OKAMOTO,26 MAY 1984,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1054,Marathon
834,Toshiya SATO,11 MAR 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1054,Marathon [Half Marathon]
834,Appachangada BELLIAPPA,11 FEB 1992,IND,https://media.aws.iaaf.org/Flags/IND.gif,1054,Marathon
836,José SOUSA,1989,POR,https://media.aws.iaaf.org/Flags/POR.gif,1054,Marathon
837,Björn KOREMAN,06 MAR 1991,NED,https://media.aws.iaaf.org/Flags/NED.gif,1054,Marathon [Half Marathon]
838,Joseph MWANGI,20 APR 1976,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1054,Marathon
839,Suhwan JEON,28 AUG 1999,KOR,https://media.aws.iaaf.org/Flags/KOR.gif,1054,Marathon
840,Anthony EKAI,1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1053,Marathon
841,Robert MIRANDA,20 AUG 2000,USA,https://media.aws.iaaf.org/Flags/USA.gif,1053,Marathon
842,Yudai FUKUDA,19 NOV 1996,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1053,Marathon [Half Marathon]
843,Taiki SUZUKI,10 MAR 1995,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1053,Marathon [Half Marathon]
844,Guoshun LUO,16 APR 1996,CHN,https://media.aws.iaaf.org/Flags/CHN.gif,1053,Marathon
844,Vagner DA SILVA NORONHA,05 JUL 1984,BRA,https://media.aws.iaaf.org/Flags/BRA.gif,1053,Marathon
846,Takeshi NISHIDA,10 APR 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1052,Marathon [Half Marathon]
847,Daniel MUIVA KITONYI,12 JAN 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1052,Marathon [Half Marathon]
