Place,Competitor,DOB,Nationality,Score,Date,res,city,place
661, Yuki TSUTSUMI,16 APR 1993, JPN, 1088, 26 FEB 2023,JPN,Osaka,7
662, Mulat BAZEZEW,1999, ETH, 1088, 29 OCT 2023,ESP,Málaga,2
662, Mulat BAZEZEW,1999, ETH, 1088, 26 MAR 2023,KOR,Incheon,11
663, Joel MWAURA,20 JAN 1999, KEN, 1087, 03 DEC 2023,JPN,Fukuoka,16
663, Joel MWAURA,20 JAN 1999, KEN, 1087, 28:19.56 ,JPN,71st All Japan Corporate Teams Athletics Championships,18
663, Joel MWAURA,20 JAN 1999, KEN, 1087, 04 MAY 2023,JPN,Nishishina Athletic Stadium,9
663, Joel MWAURA,20 JAN 1999, KEN, 1087, 23 APR 2023,JPN,Gifu,20
663, Joel MWAURA,20 JAN 1999, KEN, 1087, 08 APR 2023,JPN,Egao Kenko Stadium,7
664, Jiahao WANG,, CHN, 1087, 17 DEC 2023,CHN,Hangzhou,UNC
664, Jiahao WANG,, CHN, 1087, 24 SEP 2023,CHN,Hengshui,10
665, Kenta UCHIDA,19 JAN 1996, JPN, 1087, 19 NOV 2023,JPN,Ageo,10
665, Kenta UCHIDA,19 JAN 1996, JPN, 1087, 15 JUL 2023,JPN,Aoba Park Athletic Field,18
665, Kenta UCHIDA,19 JAN 1996, JPN, 1087, 21 MAY 2023,JPN,Kanseki Stadium,14
665, Kenta UCHIDA,19 JAN 1996, JPN, 1087, 08 APR 2023,JPN,Egao Kenko Stadium,26
665, Kenta UCHIDA,19 JAN 1996, JPN, 1087, 05 MAR 2023,JPN,Tokyo,6
665, Kenta UCHIDA,19 JAN 1996, JPN, 1087, 15 JAN 2023,USA,Houston,18
666, Kenta FUKUMURA,07 OCT 1994, JPN, 1087, 27 AUG 2023,JPN,Sapporo,7
666, Kenta FUKUMURA,07 OCT 1994, JPN, 1087, 23 APR 2023,JPN,Nagano,45
666, Kenta FUKUMURA,07 OCT 1994, JPN, 1087, 26 FEB 2023,JPN,Osaka,18
666, John LANGAT,02 OCT 1993, KEN, 1087, 23 APR 2023,GER,Hamburg,9
666, John LANGAT,02 OCT 1993, KEN, 1087, 15 JAN 2023,IND,Mumbai,80
668, Eulalio MUNOZ,16 JUL 1995, ARG, 1087, 24 SEP 2023,GER,Berlin,25
668, Eulalio MUNOZ,16 JUL 1995, ARG, 1087, 27 AUG 2023,ARG,Buenos Aires - Argentinian Half Marathon Ch,1
668, Eulalio MUNOZ,16 JUL 1995, ARG, 1087, 21 MAY 2023,PER,Lima,1
668, Eulalio MUNOZ,16 JUL 1995, ARG, 1087, 12 MAR 2023,ARG,Buenos Aires,1
669, George ONYANCHA,10 JUN 1993, KEN, 1086, 11 JUN 2023,RWA,Kigali,19
670, Bugatha SRINU,16 JUN 1992, IND, 1086, 15 OCT 2023,IND,New Delhi,15
670, Bugatha SRINU,16 JUN 1992, IND, 1086, 15 JAN 2023,IND,Mumbai,2
671, Ulises MARTIN-AMBROSIO,26 MAY 1993, PER, 1086, 29:00.44 ,PER,Grand Prix Sudamericano Pedro Gálvez Velarde,2
672, Julius OCHIENG,15 APR 1990, UGA, 1086, 31 DEC 2023,CHN,Shenzhen,5
672, Julius OCHIENG,15 APR 1990, UGA, 1086, 27 AUG 2023,INA,Bali,12
672, Julius OCHIENG,15 APR 1990, UGA, 1086, 29:59.0h ,INA,Ugandan Championships,3
673, Shengo KEBEDE,02 NOV 1989, ETH, 1086, 05 NOV 2023,THA,Chon Buri,13
673, Shengo KEBEDE,02 NOV 1989, ETH, 1086, 19 MAR 2023,CHN,Wuxi,7
674, Daverson RAMOS,06 JUN 1991, PER, 1086, 24 SEP 2023,ARG,Buenos Aires,6
674, Daverson RAMOS,06 JUN 1991, PER, 1086, 29:37.96 ,PER,Grand Prix Sudamericano Pedro Gálvez Velarde,5
674, Daverson RAMOS,06 JUN 1991, PER, 1086, 29:41.00 ,PER,Peruvian Championships,14
674, Daverson RAMOS,06 JUN 1991, PER, 1086, 16 JUN 2023,PER,Estadio Atlético de la VIDENA,18
674, Daverson RAMOS,06 JUN 1991, PER, 1086, 21 MAY 2023,PER,Lima,78
674, Daverson RAMOS,06 JUN 1991, PER, 1086, 23 APR 2023,GER,Hamburg,4
675, Emmanuel SIKUKU,12 MAY 1993, KEN, 1085, 27 AUG 2023,CHN,Harbin,14
675, Emmanuel SIKUKU,12 MAY 1993, KEN, 1085, 23 APR 2023,SUI,Zürich,4
675, Emmanuel SIKUKU,12 MAY 1993, KEN, 1085, 26 MAR 2023,CHN,Shaoxing,14
675, Emmanuel SIKUKU,12 MAY 1993, KEN, 1085, 19 MAR 2023,CHN,Wuxi,F
676, Pedro GOMEZ,08 JUN 1987, ARG, 1085, 22 OCT 2023,CHI,Santiago de Chile,16
676, Pedro GOMEZ,08 JUN 1987, ARG, 1085, 27 AUG 2023,ARG,Buenos Aires - Argentinian Half Marathon Ch,3
676, Pedro GOMEZ,08 JUN 1987, ARG, 1085, 19 MAR 2023,VEN,Caracas - Pan American Marathon Championships,61
676, Pedro GOMEZ,08 JUN 1987, ARG, 1085, 19 FEB 2023,ESP,Sevilla,7
677, Sota FUKUTANI,20 JUN 2000, JPN, 1085, 28:38.69 ,ESP,Hachioji Long Distance,3
677, Sota FUKUTANI,20 JUN 2000, JPN, 1085, 28:55.04 ,ESP,3rd Chugoku Corporate Long Distance Challenge,14
677, Sota FUKUTANI,20 JUN 2000, JPN, 1085, 29:19.71 ,ESP,Hokuren Distance Challenge - Kitami,6
677, Sota FUKUTANI,20 JUN 2000, JPN, 1085, 08 JUL 2023,JPN,Athletic Track,5
677, Sota FUKUTANI,20 JUN 2000, JPN, 1085, 29:11.48 ,JPN,66rd Kyushu Corporate Athletics Championships,3
677, Sota FUKUTANI,20 JUN 2000, JPN, 1085, 04 MAY 2023,JPN,Nishishina Athletic Stadium,9
677, Sota FUKUTANI,20 JUN 2000, JPN, 1085, 29:14.91 ,JPN,71st Hyogo Relay Carnival,5
678, Linus ROSDAL,11 MAR 1992, SWE, 1085, 21 OCT 2023,Halmstad - XC 4.0km,Galgberget,3
678, Linus ROSDAL,11 MAR 1992, SWE, 1085, 21 OCT 2023,Halmstad - XC 10.0km,Galgberget,2
678, Linus ROSDAL,11 MAR 1992, SWE, 1085, 23 SEP 2023,SWE,Lidingö - XC 30.0km,3
678, Linus ROSDAL,11 MAR 1992, SWE, 1085, 23 APR 2023,SWE,Ystads Sandskog,23
678, Linus ROSDAL,11 MAR 1992, SWE, 1085, 02 APR 2023,GER,Berlin,4
678, Linus ROSDAL,11 MAR 1992, SWE, 1085, 12 MAR 2023,ESP,Elche,22
679, Faraja Lazaro DAMASI,25 JUL 1997, TAN, 1085, 29 OCT 2023,SUI,Luzern - World Military Championships,4
679, Faraja Lazaro DAMASI,25 JUL 1997, TAN, 1085, 23 JUL 2023,TAN,Dodoma,17
680, Kento OTSU,07 DEC 1991, JPN, 1085, 29:23.03 ,TAN,Hokuren Distance Challenge - Fukagawa,11
680, Kento OTSU,07 DEC 1991, JPN, 1085, 28 MAY 2023,CAN,Ottawa,14
680, Kento OTSU,07 DEC 1991, JPN, 1085, 05 FEB 2023,JPN,Beppu,6
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 03 DEC 2023,NED,Heerenberg,11
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 26 NOV 2023,NED,Tilburg - XC 10.0km,18
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 18 NOV 2023,FRA,Lille,4
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 01 OCT 2023,NED,Breda - Dutch Half Marathon Ch,13
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 17 SEP 2023,NED,Zaandam,5
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 03 SEP 2023,NED,Rotterdam,2
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 07 JUL 2023,NED,Atletiekbaan Maarschalkerweerd,4
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 29:30.09 ,NED,Dutch 10,58
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 16 APR 2023,NED,Rotterdam,6
681, Frank FUTSELAAR,16 JUL 1991, NED, 1085, 12 FEB 2023,NED,Schoorl - Dutch 10km Ch,25
682, Dewi GRIFFITHS,09 AUG 1991, GBR, 1085, 11 NOV 2023,Cardiff - XC 9.6km,Llandaff Fields,19
682, Dewi GRIFFITHS,09 AUG 1991, GBR, 1085, 23 APR 2023,GBR,London,10
683, Gantulga DAMBADARJAA,03 FEB 1989, MGL, 1085, 05 OCT 2023,CHN,Qiantang River Green Belt,10
683, Gantulga DAMBADARJAA,03 FEB 1989, MGL, 1085, 16 JUL 2023,THA,Supachalasai National Stadium,6
683, Gantulga DAMBADARJAA,03 FEB 1989, MGL, 1085, 30:31.35 ,THA,Asian Athletics Championships,40
683, Gantulga DAMBADARJAA,03 FEB 1989, MGL, 1085, 14 MAY 2023,DEN,København,F
683, Gantulga DAMBADARJAA,03 FEB 1989, MGL, 1085, 02 APR 2023,KOR,Daegu,18
683, Gantulga DAMBADARJAA,03 FEB 1989, MGL, 1085, 19 MAR 2023,KOR,Seoul,F
683, Gantulga DAMBADARJAA,03 FEB 1989, MGL, 1085, 26 FEB 2023,JPN,Osaka,F
684, Cristhian ZAMORA,15 JAN 1991, URU, 1085, 27 AUG 2023,Hősök tere,Budapest 2023,12
684, Cristhian ZAMORA,15 JAN 1991, URU, 1085, 04 JUN 2023,ESP,Albacete,F
684, Cristhian ZAMORA,15 JAN 1991, URU, 1085, DNF ,Estádio José Vieira de Carvalho,Meeting Gala Fernanda Ribeiro,1
684, Cristhian ZAMORA,15 JAN 1991, URU, 1085, 06 MAY 2023,ESP,Granada,23
684, Cristhian ZAMORA,15 JAN 1991, URU, 1085, 15 APR 2023,ESP,Huelva,F1
684, Cristhian ZAMORA,15 JAN 1991, URU, 1085, DNF ,Pista Los Silos,Trofeo Iberico,32
684, Cristhian ZAMORA,15 JAN 1991, URU, 1085, 19 FEB 2023,ESP,Sevilla,12
684, Cristhian ZAMORA,15 JAN 1991, URU, 1085, 29 JAN 2023,ESP,Ibiza,3
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 17 DEC 2023,AUT,Prater Hauptallee,42
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 10 DEC 2023,Bruxelles,Laeken Park,14
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 29 OCT 2023,GER,Frankfurt,42
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 01 OCT 2023,LAT,Riga,24
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 17 SEP 2023,DEN,København,3
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 09 JUL 2023,AUT,Casino - Stadion,1
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 08 JUL 2023,AUT,Casino - Stadion,2
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 22 JUN 2023,POL,Stadion Śląski,12
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 17 JUN 2023,AUT,LAZ Wien,22
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 28:55.99 ,AUT,European 10,14
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 23 APR 2023,AUT,Wien - Austrian Marathon Ch,1
685, Andreas VOJTA,09 JUN 1989, AUT, 1085, 12 MAR 2023,AUT,Prater Hauptallee,67
686, Hiko Tonosa HASO,09 OCT 1995, IRL, 1085, 03 DEC 2023,ESP,Valencia,60
686, Hiko Tonosa HASO,09 OCT 1995, IRL, 1085, 01 OCT 2023,LAT,Riga,9
686, Hiko Tonosa HASO,09 OCT 1995, IRL, 1085, 27 AUG 2023,GBR,Larne,7
687, Abednego CHERUIYOT,09 FEB 1994, KEN, 1084, 10 DEC 2023,TUR,Mersin,UNC
687, Abednego CHERUIYOT,09 FEB 1994, KEN, 1084, 14 MAY 2023,FRA,Lens,7
688, Daniel KIPROTICH,04 APR 1994, KEN, 1084, 23 JUL 2023,TAN,Dodoma,4
688, Daniel KIPROTICH,04 APR 1994, KEN, 1084, 10 JUN 2023,NED,Zwolle,8
689, Paul Katisha MATHEKA,31 AUG 1993, KEN, 1084, 27 AUG 2023,CHN,Harbin,11
689, Paul Katisha MATHEKA,31 AUG 1993, KEN, 1084, 04 FEB 2023,NGR,Lagos,10
690, Ivan Dario GONZALEZ,14 AUG 1987, COL, 1084, 30:13.81 ,CHI,Pan American Games,1
690, Ivan Dario GONZALEZ,14 AUG 1987, COL, 1084, 22 OCT 2023,COL,Estadio de Atletismo de la Unidad Deportiva Centenario,1
690, Ivan Dario GONZALEZ,14 AUG 1987, COL, 1084, 29:42.36 ,COL,Colombian Championships,2
690, Ivan Dario GONZALEZ,14 AUG 1987, COL, 1084, 29:40.71 ,ESA,CAC Games,4
690, Ivan Dario GONZALEZ,14 AUG 1987, COL, 1084, 21 MAY 2023,PER,Lima10K,1
690, Ivan Dario GONZALEZ,14 AUG 1987, COL, 1084, 29:33.72 ,PER,Campeonato Nacional de Semifondo y Fondo,98
690, Ivan Dario GONZALEZ,14 AUG 1987, COL, 1084, 19 FEB 2023,ESP,Sevilla,13
690, Sydney GIDABUDAY,21 AUG 1996, USA, 1084, 05 NOV 2023,USA,New York,9
690, Sydney GIDABUDAY,21 AUG 1996, USA, 1084, 28 MAY 2023,CAN,Ottawa,28
690, Sydney GIDABUDAY,21 AUG 1996, USA, 1084, 15 JAN 2023,USA,Houston,6
692, Melese KIFLE,2000, ETH, 1083, 03 DEC 2023,SGP,Singapore,4
692, Melese KIFLE,2000, ETH, 1083, 23 APR 2023,ESP,Madrid,23
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 29 OCT 2023,CHN,Beijing,7
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 04 OCT 2023,CHN,HOC Stadium,6
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 01 OCT 2023,CHN,HOC Stadium,6
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 31:38.21 ,CHN,The 21th National University Athletics Championships,12
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 12 AUG 2023,CHN,Athletics Field of Anhui Vocational and Technical College,11
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 23 JUL 2023,CHN,Sports Center,3
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 22 JUL 2023,CHN,Sports Center,7
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 21 JUL 2023,CHN,Sports Center,10
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 21 JUL 2023,CHN,Sports Center,13
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 16 JUL 2023,THA,Supachalasai National Stadium,9
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 16 JUL 2023,CHN,Liupanshui,7
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 14 JUL 2023,THA,Supachalasai National Stadium,1
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 29:22.82 ,THA,Chinese Champinships,1
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 28 JUN 2023,CHN,Olympic Center,3
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 27 JUN 2023,CHN,Olympic Center,16
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 30:43.45 ,CHN,2nd National Grand Prix,2
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 28:45.64 ,CHN,2nd National Grand Prix,8
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 27 APR 2023,CHN,Rizhao,1
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 26 APR 2023,CHN,Rizhao,12
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 26 APR 2023,CHN,Rizhao,15
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 30:37.03 ,CHN,Southwest China Regional Invitation Meeting,1
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 08 APR 2023,CHN,Sichuan Xipu Training Base,8
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 07 APR 2023,CHN,Sichuan Xipu Training Base,2
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 07 APR 2023,CHN,Sichuan Xipu Training Base,4
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 17 MAR 2023,CHN,Tuanbo Sports Center,3
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 15 MAR 2023,CHN,Tuanbo Sports Center,1
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 01 MAR 2023,CHN,Sichuan Xipu Training Base,1
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 27 FEB 2023,CHN,Sichuan Xipu Training Base,1
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 25 FEB 2023,CHN,Sichuan Xipu Training Base,1
693, Ciren ZHAXI,16 NOV 2002, CHN, 1083, 24 FEB 2023,CHN,Sichuan Xipu Training Base,7
694, Hiribo SHANO,12 FEB 1999, ETH, 1083, 29 OCT 2023,CHN,Changsha,6
694, Hiribo SHANO,12 FEB 1999, ETH, 1083, 21 MAY 2023,CHN,Taiyuan,6
694, Hiribo SHANO,12 FEB 1999, ETH, 1083, 20 JAN 2023,QAT,Doha,1
695, Reece EDWARDS,24 OCT 1990, AUS, 1083, 15 OCT 2023,AUS,Cricket Ground,18
696, Dongzhibu RENQING,15 OCT 2000, CHN, 1083, 29 OCT 2023,CHN,Beijing,6
696, Dongzhibu RENQING,15 OCT 2000, CHN, 1083, 16 JUL 2023,CHN,Liupanshui,7
696, Dongzhibu RENQING,15 OCT 2000, CHN, 1083, 21 MAY 2023,CHN,Taiyuan,9
697, Takuto HAGESHITA,29 OCT 1996, JPN, 1082, 29:07.73 ,CHN,24th Chubu Area Corporate Teams Championships,14
697, Takuto HAGESHITA,29 OCT 1996, JPN, 1082, 28:52.30 ,CHN,67th Central Japan Corporate Teams Athletics Championships,83
697, Takuto HAGESHITA,29 OCT 1996, JPN, 1082, 26 FEB 2023,JPN,Osaka,21
697, Takuto HAGESHITA,29 OCT 1996, JPN, 1082, 29 JAN 2023,JPN,Osaka Half Marathon Course,2
698, Abdelilah ELMAIMOUNI,01 MAY 1992, MAR, 1081, 10 DEC 2023,ESP,Málaga,12
698, Abdelilah ELMAIMOUNI,01 MAY 1992, MAR, 1081, 08 OCT 2023,FRA,Paris,7
698, Abdelilah ELMAIMOUNI,01 MAY 1992, MAR, 1081, 24 SEP 2023,FRA,Montbéliard,2
699, Elija KEMBOI,10 SEP 1984, KEN, 1081, 03 DEC 2023,TUN,Tunis,5
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 19 NOV 2023,MEX,Monterrey,4
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 05 NOV 2023,MEX,Guadalajara,3
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 03 SEP 2023,MEX,Guadalajara,16
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 13 AUG 2023,MEX,Guadalajara - Mexican 10km Road Running Championships,6
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 30:31.23 ,MEX,Mexican Championships,1
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 01 JUL 2023,MEX,Pista del CARE,1
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 30:16.65 ,MEX,6° Festival de Fondo y Medio Fondo,F
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 30 APR 2023,León,Macrocentro Deportivo León,7
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 30:54.29 ,León,Encuentro Selectivo FMAA,16
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 28:44.46 ,León,Bryan Clay Invitational,10
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 31 MAR 2023,MEX,Pista de Atletismo del Centro Deportivo Benito Juárez,104
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 19 FEB 2023,ESP,Sevilla,43
700, Saul ACOSTA,02 AUG 1990, MEX, 1081, 15 JAN 2023,USA,Houston,2
701, Filmon ANDE,10 FEB 1998, ERI, 1081, 10 DEC 2023,USA,Kapiolani Park,4
701, Filmon ANDE,10 FEB 1998, ERI, 1081, 12 NOV 2023,USA,Boston,F
701, Filmon ANDE,10 FEB 1998, ERI, 1081, 17 APR 2023,MA,Boston,2
702, Paul Kipngetich TANUI,22 DEC 1990, KEN, 1080, 24 SEP 2023,ARG,Buenos Aires,4
702, Paul Kipngetich TANUI,22 DEC 1990, KEN, 1080, 30 JUL 2023,COL,Bogotá,F
702, Paul Kipngetich TANUI,22 DEC 1990, KEN, 1080, 02 APR 2023,KOR,Daegu,26
703, Alejandro JIMENEZ,22 AUG 1984, ESP, 1080, 31 DEC 2023,ESP,Madrid,187
703, Alejandro JIMENEZ,22 AUG 1984, ESP, 1080, 03 DEC 2023,ESP,Valencia,9
703, Alejandro JIMENEZ,22 AUG 1984, ESP, 1080, 14 MAY 2023,ESP,Santander,2
703, Alejandro JIMENEZ,22 AUG 1984, ESP, 1080, 16 APR 2023,ESP,Zaragoza - Spanish Marathon Ch,15
703, Alejandro JIMENEZ,22 AUG 1984, ESP, 1080, 05 FEB 2023,ESP,Calzadilla - XC 10.0km,5
704, Tom THURLEY,13 SEP 1993, GER, 1080, 01 OCT 2023,GER,Köln - German Marathon Ch,5
705, Moses MENGICH,20 JAN 1994, KEN, 1080, 16 APR 2023,CHN,Wuhan,35
706, Duojie ZHAXI,29 NOV 1999, CHN, 1080, 29 OCT 2023,CHN,Beijing,11
706, Duojie ZHAXI,29 NOV 1999, CHN, 1080, 16 JUL 2023,CHN,Liupanshui,F2
706, Duojie ZHAXI,29 NOV 1999, CHN, 1080, DNF ,Rizhao,2nd National Grand Prix,F1
706, Duojie ZHAXI,29 NOV 1999, CHN, 1080, 26 APR 2023,CHN,Rizhao,19
706, Duojie ZHAXI,29 NOV 1999, CHN, 1080, 31:53.06 ,CHN,Southwest China Regional Invitation Meeting,15
706, Duojie ZHAXI,29 NOV 1999, CHN, 1080, 07 APR 2023,CHN,Sichuan Xipu Training Base,7
707, Abera KETEMA,, ETH, 1080, 17 DEC 2023,CHN,Fuzhou,11
708, Xiaohong ZHANG,15 JUL 1996, CHN, 1079, 03 DEC 2023,CHN,Shenzhen,UNC
708, Xiaohong ZHANG,15 JUL 1996, CHN, 1079, 19 NOV 2023,CHN,Hefei,13
708, Xiaohong ZHANG,15 JUL 1996, CHN, 1079, 29 OCT 2023,CHN,Beijing,8
708, Xiaohong ZHANG,15 JUL 1996, CHN, 1079, 11 JUN 2023,CHN,Jilin,F2
708, Xiaohong ZHANG,15 JUL 1996, CHN, 1079, DNF ,Rizhao,2nd National Grand Prix,F3
708, Xiaohong ZHANG,15 JUL 1996, CHN, 1079, 26 APR 2023,CHN,Rizhao,18
709, Adil OULAD LIDAME,02 FEB 1982, MAR, 1079, 29 OCT 2023,SUI,Luzern - World Military Championships,11
709, Adil OULAD LIDAME,02 FEB 1982, MAR, 1079, 30 APR 2023,MAR,Rabat,6
709, Adil OULAD LIDAME,02 FEB 1982, MAR, 1079, 29 JAN 2023,MAR,Marrakech,5
710, Abraham BIWOTT,01 JAN 1982, KEN, 1079, 05 NOV 2023,POR,Porto,7
711, Mica Kiplagat CHESEREK,12 OCT 1996, KEN, 1078, 25 JUN 2023,GER,Hamburg,6
711, Mica Kiplagat CHESEREK,12 OCT 1996, KEN, 1078, 08 APR 2023,GER,Paderborn,15
711, Mica Kiplagat CHESEREK,12 OCT 1996, KEN, 1078, 02 APR 2023,GER,Berlin,37
711, Mica Kiplagat CHESEREK,12 OCT 1996, KEN, 1078, 04 FEB 2023,KEN,Eldoret - XC 10.0km,5
712, Sishuang SHAO,05 FEB 2000, CHN, 1078, 17 DEC 2023,CHN,Hangzhou,13
712, Sishuang SHAO,05 FEB 2000, CHN, 1078, 03 DEC 2023,CHN,Shenzhen,22
712, Sishuang SHAO,05 FEB 2000, CHN, 1078, 29 OCT 2023,CHN,Beijing,12
712, Sishuang SHAO,05 FEB 2000, CHN, 1078, 16 APR 2023,CHN,Wuhan,8
712, Sishuang SHAO,05 FEB 2000, CHN, 1078, 19 MAR 2023,CHN,Chongqing,10
713, Elijah THIGA,, KEN, 1078, 22 OCT 2023,KOR,Gyeongju,F
713, Elijah THIGA,, KEN, 1078, 19 MAR 2023,KOR,Seoul,6
714, Gebrie ERIKHUN,11 SEP 1997, ETH, 1078, 05 NOV 2023,CHN,Xuzhou,4
714, Gebrie ERIKHUN,11 SEP 1997, ETH, 1078, 16 APR 2023,CHN,Yangzhou,5
714, Gebrie ERIKHUN,11 SEP 1997, ETH, 1078, 19 FEB 2023,ESP,Barcelona,37
715, Kazuki MURAMOTO,10 NOV 1992, JPN, 1078, 15 OCT 2023,JPN,Tokyo,2
715, Kazuki MURAMOTO,10 NOV 1992, JPN, 1078, 28:52.85 ,JPN,67th Kansai Inter-Corporate Track & Field Championships,13
715, Kazuki MURAMOTO,10 NOV 1992, JPN, 1078, 28:22.98 ,JPN,1st Nittaidai Challenge Games,13
715, Kazuki MURAMOTO,10 NOV 1992, JPN, 1078, 05 FEB 2023,JPN,Beppu,6
716, Kenneth KEMBOI,12 SEP 1991, KEN, 1077, 24 FEB 2023,KEN,Nyayo National Stadium,26
716, Kenneth KEMBOI,12 SEP 1991, KEN, 1077, 04 FEB 2023,KEN,Eldoret - XC 10.0km,6
717, Guangyao WANG,03 FEB 1999, CHN, 1077, 17 DEC 2023,CHN,Hangzhou,21
717, Guangyao WANG,03 FEB 1999, CHN, 1077, 29 OCT 2023,CHN,Beijing,F
717, Guangyao WANG,03 FEB 1999, CHN, 1077, DNF ,Sports Center,National Athletics Championships,12
717, Guangyao WANG,03 FEB 1999, CHN, 1077, 30:07.76 ,CHN,2nd National Grand Prix,14
717, Guangyao WANG,03 FEB 1999, CHN, 1077, 26 APR 2023,CHN,Rizhao,5
717, Guangyao WANG,03 FEB 1999, CHN, 1077, 16 APR 2023,CHN,Zhengzhou,24
718, Lee WESSELIUS,06 JAN 1994, CAN, 1077, 25 NOV 2023,CAN,Ottawa - XC 10.0km,6
718, Lee WESSELIUS,06 JAN 1994, CAN, 1077, 14 OCT 2023,USA,Valley Cottage,14
718, Lee WESSELIUS,06 JAN 1994, CAN, 1077, 28 MAY 2023,CAN,Ottawa,2
718, Lee WESSELIUS,06 JAN 1994, CAN, 1077, 12 FEB 2023,CAN,Vancouver,38
718, Lee WESSELIUS,06 JAN 1994, CAN, 1077, 15 JAN 2023,USA,Houston,12
719, Kazuto KAWABATA,20 DEC 1995, JPN, 1077, 15 OCT 2023,JPN,Tokyo,6
719, Kazuto KAWABATA,20 DEC 1995, JPN, 1077, 12 JUL 2023,JPN,Municipal Stadium,4
719, Kazuto KAWABATA,20 DEC 1995, JPN, 1077, 28:39.84 ,JPN,Hokuren Distance Challenge - Fukagawa,27
719, Kazuto KAWABATA,20 DEC 1995, JPN, 1077, 23 APR 2023,JPN,Gifu,4
719, Kazuto KAWABATA,20 DEC 1995, JPN, 1077, 08 APR 2023,JPN,Egao Kenko Stadium,3
719, Kazuto KAWABATA,20 DEC 1995, JPN, 1077, 19 FEB 2023,JPN,Kumamoto,48
719, Kazuto KAWABATA,20 DEC 1995, JPN, 1077, 29 JAN 2023,JPN,Osaka Half Marathon Course,3
720, KOrme NEGASI,, ETH, 1076, 05 NOV 2023,CHN,Xuzhou,11
720, KOrme NEGASI,, ETH, 1076, 23 APR 2023,ESP,Madrid,1
721, Duber ABDISHA,02 JAN 1992, ETH, 1076, 19 NOV 2023,ITA,Palermo,7
721, Duber ABDISHA,02 JAN 1992, ETH, 1076, 11 JUN 2023,CHN,Lanzhou,5
